#{"t_start": 1541173116.7946644, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,10.532824
0.0,501,19.972472
0.0,501,29.406209
0.0,501,38.864749
0.0,501,48.308119
2.0,501,58.005711
0.0,501,68.080116
0.0,501,77.715339
0.5,501,87.205329
0.0,501,96.761696
0.25,501,106.307086
6.75,501,115.861461
9.5,501,125.438607
16.5,501,135.213753
26.0,501,144.856586
23.75,501,154.512011
23.5,501,164.264281
31.25,501,174.573556
23.75,501,184.885977
29.25,501,195.159785
27.0,501,205.373461
22.75,501,215.396161
22.25,501,225.379846
29.5,501,235.196928
23.5,501,244.980553
33.0,501,254.795998
18.5,501,264.567209
32.75,501,274.522349
30.75,501,284.329623
28.5,501,294.144747
25.75,501,304.010307
29.5,501,313.94654
30.0,501,323.710711
32.0,501,333.495225
39.5,501,343.324372
31.25,501,353.148052
30.75,501,363.20304
34.5,501,373.259665
32.75,501,383.26955
21.25,501,393.523635
35.5,501,404.155625
39.0,501,414.672283
35.0,501,424.691525
31.75,501,434.617641
38.25,501,444.578078
36.75,501,454.4783
34.75,501,464.369811
32.5,501,474.334491
31.0,501,484.225559
36.0,501,494.545398
37.75,501,505.894906
35.75,501,517.132791
36.0,501,528.433599
34.5,501,539.6128
34.75,501,550.946569
35.75,501,562.296063
40.25,501,573.658385
37.0,501,584.920062
38.5,501,595.489813
34.25,501,605.443779
38.25,501,615.453196
38.25,501,625.287312
37.75,501,635.531809
36.0,501,645.431664
36.5,501,655.244246
36.5,501,665.092665
34.5,501,674.928511
37.25,501,684.751133
39.25,501,694.626412
34.25,501,704.466301
27.0,501,714.341482
36.0,501,724.165711
37.5,501,734.002557
35.25,501,744.029768
33.25,501,754.636621
34.5,501,765.062927
31.75,501,775.427494
34.25,501,785.770412
33.5,501,796.078058
29.25,501,806.39052
30.75,501,816.743973
40.0,501,827.068276
34.75,501,837.379773
38.0,501,847.678353
34.75,501,858.033766
32.25,501,868.411572
35.5,501,878.74524
37.0,501,888.978852
33.0,501,899.187908
29.0,501,909.419514
35.0,501,919.727811
39.25,501,929.960295
34.25,501,940.165377
35.0,501,950.373517
39.25,501,960.782809
35.0,501,971.173851
38.5,501,981.451886
36.25,501,991.712321
31.5,501,1001.993976
38.25,501,1012.261287
41.25,501,1022.56994
36.5,501,1032.835987
42.75,501,1043.097444
38.5,501,1053.381335
39.0,501,1063.662081
38.75,501,1073.947126
36.5,501,1084.235825
35.75,501,1094.441676
35.25,501,1104.66119
41.0,501,1114.861206
34.75,501,1125.133532
35.0,501,1135.346615
36.0,501,1145.569267
31.75,501,1155.770387
30.75,501,1165.992001
37.25,501,1176.268902
36.25,501,1186.471024
35.5,501,1196.713019
35.75,501,1206.930307
37.5,501,1217.182008
42.75,501,1227.482521
38.5,501,1237.744766
34.25,501,1247.96763
36.0,501,1258.195255
35.0,501,1268.475755
38.0,501,1278.938197
35.75,501,1289.097651
39.0,501,1299.198809
36.75,501,1309.257123
38.75,501,1319.337448
38.25,501,1329.479321
31.25,501,1339.551596
36.75,501,1349.616714
38.0,501,1359.7182
38.5,501,1369.819421
35.5,501,1379.900175
36.75,501,1390.009104
38.75,501,1400.099596
33.75,501,1410.219705
37.25,501,1420.338851
37.25,501,1430.49072
38.5,501,1440.613185
35.75,501,1450.704281
38.75,501,1460.926045
39.25,501,1471.233319
35.25,501,1481.236603
34.5,501,1491.753078
39.0,501,1502.373787
35.25,501,1512.69142
32.5,501,1522.983791
39.75,501,1533.301381
34.75,501,1543.549968
33.5,501,1553.767448
31.5,501,1564.067305
41.0,501,1574.548134
31.75,501,1584.793233
33.5,501,1594.996437
35.0,501,1605.117103
34.75,501,1615.322266
34.25,501,1625.503835
37.75,501,1635.735659
32.5,501,1645.968158
33.5,501,1656.177333
35.5,501,1666.404775
34.5,501,1676.844904
32.75,501,1687.171459
38.75,501,1697.605314
35.0,501,1707.86658
36.75,501,1718.133142
34.0,501,1728.366955
36.0,501,1738.735619
36.25,501,1749.005564
