#{"t_start": 1541020028.3406398, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,499,9.705779
2.0,500,15.410956
0.0,501,21.171871
0.0,501,26.858293
4.0,496,32.46621
3.0,499,38.14817
0.0,499,43.813699
0.0,499,49.466084
0.0,496,55.07721
0.75,500,60.886877
4.0,498,66.659447
0.0,497,72.322936
0.0,500,78.048696
0.0,499,83.776966
0.0,499,89.465306
0.0,498,95.165245
4.0,497,100.846963
2.25,498,106.571623
1.0,500,112.351837
0.5,501,118.139047
8.5,501,123.88414
28.25,496,129.60516
16.25,497,135.344756
26.5,496,141.080492
18.5,501,146.882114
24.5,499,152.683785
16.0,496,158.435562
5.75,501,164.22094
25.5,498,170.03189
22.0,496,175.830894
35.25,497,181.639206
30.75,499,187.469087
26.75,499,193.305608
38.75,498,199.129804
31.75,501,205.000499
31.5,500,210.833236
46.5,499,216.689574
31.5,497,222.480971
39.25,500,228.300978
32.0,499,234.124065
18.25,496,239.889071
32.25,500,245.764339
24.25,496,251.542941
41.25,501,257.391544
33.0,497,263.196034
25.25,499,269.027794
36.75,500,274.848905
47.25,499,280.662057
29.0,498,286.468005
14.25,497,292.239748
36.25,501,298.069426
29.75,496,303.867122
22.5,496,309.688253
35.75,497,315.475901
38.75,501,321.350455
22.25,496,327.148725
28.75,496,332.939466
38.75,497,338.728176
20.75,497,344.54014
41.75,500,350.366255
33.0,499,356.211813
36.25,498,362.009729
34.75,497,367.833699
39.75,498,373.673632
39.25,498,379.503071
41.25,501,385.373906
44.25,497,391.188698
44.25,498,397.01168
45.75,500,402.882222
34.5,496,408.69824
39.25,498,414.543639
45.5,499,420.370245
41.75,501,426.183015
43.0,501,432.067212
42.0,500,437.95696
30.0,496,443.756497
41.25,496,449.50763
21.0,497,455.346936
21.0,496,461.088356
31.75,496,466.851024
50.75,497,472.678434
42.5,500,478.542586
39.75,501,484.414245
46.25,501,490.290555
32.25,496,496.049395
42.25,501,501.911109
30.75,496,507.685426
42.75,501,513.54615
42.25,501,519.571099
52.25,497,525.455117
12.5,499,531.258043
21.0,499,537.048926
43.5,501,542.877856
28.25,497,548.665762
42.5,496,554.45452
29.75,496,560.222421
64.0,496,565.993679
51.5,496,571.800692
47.5,497,577.559045
40.25,498,583.348964
39.0,499,589.162134
36.25,500,594.970064
21.5,499,600.780882
33.25,499,606.595286
21.0,499,612.402606
42.0,499,618.212491
32.0,498,623.998983
25.75,497,629.802367
30.25,499,635.591898
27.0,497,641.410536
28.0,498,647.1721
24.5,497,652.990477
46.25,498,658.759993
36.0,497,664.523225
36.25,501,670.322152
52.25,501,676.175799
43.5,499,681.984379
43.0,499,687.794616
45.75,501,693.621394
40.5,501,699.448069
50.5,497,705.276941
38.75,500,711.08008
37.75,499,716.877967
37.0,500,722.66596
70.75,498,728.447643
39.25,498,734.22234
46.25,499,740.046475
51.25,501,745.835706
48.0,501,751.681113
31.75,499,757.469942
36.25,499,763.285399
45.25,501,769.109268
44.0,500,774.9282
39.0,500,780.729209
40.0,499,786.558047
52.5,501,792.376566
37.0,499,798.206894
51.25,501,804.062109
35.75,498,809.864996
39.5,501,815.659127
34.75,497,821.467507
2.75,501,827.271398
36.25,499,833.09233
33.75,497,838.849288
36.25,498,844.622386
48.75,499,850.411036
40.0,501,856.250346
30.0,499,862.021289
40.5,501,867.838268
43.75,497,873.614696
39.5,501,879.438692
51.5,501,885.254307
32.25,497,891.048152
36.5,499,896.868309
23.0,498,902.644823
34.5,498,908.395515
49.25,498,914.151749
37.75,497,919.929386
42.25,501,925.727819
42.75,500,931.527783
39.5,501,937.310819
43.0,501,943.132828
30.75,499,948.953379
29.25,500,954.782532
44.75,501,960.610211
43.25,500,966.449746
29.75,498,972.242042
31.75,497,978.048011
40.25,499,983.840729
42.5,498,989.651479
45.5,498,995.443094
33.0,498,1001.225243
49.5,501,1007.054863
42.0,497,1012.934495
44.5,500,1018.790374
39.25,498,1024.565294
48.75,500,1030.404339
30.25,500,1036.216523
58.5,497,1042.021497
37.25,498,1047.786992
54.5,497,1053.582841
47.0,501,1059.403825
28.0,499,1065.217126
37.75,501,1071.022798
55.75,497,1076.779183
37.75,498,1082.568147
53.0,501,1088.403441
43.5,501,1094.225626
28.75,500,1100.03205
24.75,497,1105.82402
41.75,501,1111.649243
36.0,500,1117.49468
40.25,501,1123.331702
40.75,499,1129.105809
40.75,500,1134.930929
44.75,497,1140.735076
37.25,500,1146.54196
41.25,501,1152.352934
43.75,501,1158.203849
25.0,497,1164.00394
45.5,501,1169.807945
42.0,501,1175.629406
46.25,501,1181.471294
61.5,499,1187.261604
39.75,501,1193.106688
42.25,499,1198.874178
28.5,498,1204.695949
47.0,501,1210.551117
40.0,501,1216.351963
41.0,501,1222.174735
39.25,498,1227.978327
36.5,501,1233.813938
46.75,501,1239.662163
