#{"t_start": 1541020028.3513746, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,496,9.644385
0.0,496,15.269889
0.0,496,20.972897
0.0,496,26.591257
0.0,501,32.265498
0.0,500,37.933411
4.0,499,43.631475
4.0,496,49.240427
4.0,499,54.917853
4.0,499,60.713471
0.0,497,66.438756
0.0,496,72.12541
0.0,500,77.862515
5.75,496,83.522772
0.0,499,89.234563
0.0,498,94.899959
0.0,496,100.592284
0.0,498,106.315113
3.5,497,112.034034
1.0,496,117.776991
1.0,500,123.525144
6.5,497,129.253131
13.5,498,135.009277
17.5,496,140.745178
40.75,498,146.521839
24.25,500,152.318358
23.5,499,158.107493
24.25,500,163.896388
21.5,498,169.697077
15.5,501,175.559783
37.25,501,181.427081
30.0,497,187.233578
25.5,498,193.048731
35.75,500,198.878908
16.5,500,204.730093
21.25,496,210.518543
27.25,497,216.343104
0.0,501,222.201931
23.75,500,228.03019
36.0,501,233.847641
32.75,499,239.659342
42.25,501,245.561066
37.25,501,251.3965
40.25,500,257.239434
41.0,499,263.072267
21.0,499,268.899287
33.0,498,274.709128
33.5,500,280.542934
25.5,499,286.342116
30.0,498,292.148914
30.75,499,297.942692
18.75,499,303.77514
33.75,496,309.608306
31.5,499,315.423965
20.75,496,321.223951
39.0,496,327.003929
32.25,500,332.869881
33.25,501,338.701697
31.75,498,344.529851
34.5,498,350.319551
46.25,501,356.200974
33.5,500,362.044489
40.0,499,367.861161
42.75,500,373.760541
41.25,500,379.592748
31.25,496,385.42262
41.5,501,391.288033
46.25,498,397.084731
32.25,496,402.924621
41.0,501,408.807067
41.5,496,414.604288
24.5,500,420.461244
40.25,501,426.26515
45.25,497,432.113895
40.5,496,437.93487
41.75,500,443.80912
49.0,501,449.629993
24.25,497,455.4448
26.25,497,461.212811
48.25,501,467.056603
24.0,496,472.854119
15.25,497,478.665869
31.25,496,484.476166
36.25,497,490.299547
34.0,500,496.100428
36.5,499,501.9588
26.25,498,507.743206
33.75,499,513.563376
34.75,500,519.586406
36.5,496,525.476747
16.25,496,531.224498
27.0,498,536.995136
42.5,501,542.842532
49.5,501,548.674986
43.0,499,554.510977
40.75,497,560.29198
37.75,497,566.061333
45.5,501,571.95302
54.25,498,577.704769
38.5,496,583.469037
44.5,497,589.258751
33.0,500,595.07117
45.75,500,600.889566
37.5,499,606.700384
38.0,499,612.488774
50.75,501,618.35528
36.75,501,624.174688
41.5,499,629.999939
25.75,498,635.768141
38.75,500,641.613485
41.75,500,647.418007
38.5,500,653.255474
41.75,500,659.065412
41.75,497,664.816623
39.75,500,670.607001
27.5,500,676.45083
22.0,500,682.281341
41.25,501,688.104065
37.5,499,693.909009
31.5,498,699.708063
30.0,498,705.557719
41.25,500,711.36599
31.75,499,717.1663
45.5,500,722.955955
50.25,499,728.721138
45.25,499,734.513188
54.0,499,740.326772
45.25,498,746.105418
42.5,498,751.884703
34.5,498,757.682601
42.25,497,763.456134
43.0,501,769.290677
28.25,497,775.08076
47.5,501,780.901147
63.25,500,786.726755
50.25,501,792.573178
51.0,499,798.387703
40.75,497,804.190735
32.75,498,809.983054
33.75,500,815.777759
39.0,499,821.601256
43.25,501,827.395665
41.25,498,833.214573
35.75,498,838.980175
35.25,500,844.762718
30.25,500,850.578811
35.5,498,856.379694
36.25,497,862.129451
31.75,497,867.900594
39.75,500,873.713014
38.0,500,879.525499
33.75,498,885.309844
32.0,497,891.098374
34.25,499,896.897745
44.25,501,902.736273
35.0,501,908.516203
30.25,497,914.260843
37.75,501,920.075194
47.5,501,925.885806
33.25,499,931.657838
39.0,499,937.430572
39.75,501,943.264456
28.75,498,949.073956
51.75,497,954.849617
44.0,500,960.673979
50.0,501,966.537725
37.5,500,972.357277
42.5,499,978.186876
50.0,501,984.013262
53.5,500,989.833001
38.0,497,995.626691
40.25,500,1001.413742
30.0,497,1007.196428
38.25,500,1013.095152
39.75,498,1018.92239
46.5,501,1024.750408
33.75,497,1030.561215
43.25,500,1036.372509
35.25,499,1042.176279
39.25,497,1047.947524
47.5,497,1053.726801
41.75,501,1059.541709
31.75,498,1065.340889
46.0,501,1071.163536
41.5,498,1076.941453
32.25,499,1082.739289
34.75,499,1088.536484
51.25,499,1094.344807
29.75,498,1100.130937
36.75,499,1105.937924
36.5,498,1111.724179
32.75,500,1117.565609
34.5,499,1123.383885
37.5,500,1129.164606
37.25,501,1135.017939
33.75,500,1140.872842
35.0,501,1146.683442
9.0,500,1152.468066
35.5,500,1158.302886
42.75,500,1164.132894
26.25,498,1169.927171
37.0,501,1175.739036
45.5,500,1181.557336
38.25,500,1187.370775
37.75,498,1193.171128
45.25,501,1198.976057
30.5,499,1204.808699
43.25,501,1210.655089
15.5,499,1216.43413
38.25,498,1222.210485
44.75,499,1228.03575
38.25,499,1233.852569
34.75,498,1239.651469
45.75,501,1245.512938
48.5,498,1251.323862
26.25,498,1257.153872
31.5,498,1262.960462
45.0,499,1268.772797
33.25,499,1274.580865
45.5,500,1280.416318
42.25,501,1286.264736
42.25,498,1292.076696
59.0,498,1297.915456
53.0,500,1303.776721
44.25,499,1309.603982
43.0,500,1315.436942
50.75,500,1321.287621
49.0,500,1327.115891
25.25,498,1332.940394
46.0,500,1338.77159
41.25,499,1344.623556
37.0,498,1350.448984
45.75,499,1356.269502
28.75,498,1362.073955
34.0,500,1367.908713
41.25,500,1373.754136
31.75,499,1379.579034
45.0,499,1385.394066
33.25,499,1391.221743
31.5,499,1397.068791
34.0,499,1402.891708
35.0,498,1408.703913
42.25,498,1414.521734
44.25,499,1420.347752
43.0,499,1426.194031
38.25,501,1432.038055
30.25,499,1437.855419
38.5,500,1443.680805
40.5,501,1449.527062
39.75,501,1455.355809
31.75,498,1461.204062
40.25,498,1467.004311
37.5,501,1472.832572
30.25,499,1478.672392
40.5,500,1484.501666
52.75,500,1490.33609
51.75,501,1496.177981
43.0,499,1501.994426
48.75,500,1507.810109
45.5,501,1513.619234
49.0,498,1519.449295
58.5,498,1525.271958
34.25,498,1531.074299
41.5,501,1536.900629
30.25,498,1542.698218
40.5,501,1548.531515
34.75,500,1554.364523
39.25,500,1560.190664
37.0,498,1566.021751
24.5,498,1571.823233
48.75,501,1577.690727
50.5,501,1583.529808
41.5,498,1589.354372
49.75,500,1595.186719
36.5,498,1601.026182
45.75,501,1606.884211
33.0,498,1612.733437
49.0,501,1618.599224
32.25,499,1624.450379
44.25,499,1630.28649
64.75,498,1636.09358
21.75,500,1641.920817
50.75,498,1647.738498
81.75,500,1653.577083
86.5,498,1659.361925
72.0,500,1665.199044
36.0,498,1671.002037
45.75,499,1676.829796
49.25,499,1682.632706
29.0,499,1688.436304
35.0,499,1694.278834
40.75,498,1700.116721
39.0,499,1705.974537
44.5,500,1711.814642
45.5,498,1717.607651
38.5,498,1723.395641
54.75,499,1729.21036
10.0,499,1735.026681
58.5,500,1740.856233
56.5,499,1746.657033
76.25,499,1752.455547
96.5,501,1758.246714
53.0,501,1764.081529
79.75,499,1769.876807
41.25,501,1775.670249
30.5,499,1781.474511
61.0,499,1787.309928
36.0,500,1793.136828
31.5,499,1798.975225
69.75,500,1804.813779
57.75,501,1810.662158
41.75,499,1816.496032
44.5,501,1822.345868
47.25,500,1828.206211
44.25,501,1834.046979
47.75,500,1839.892399
39.25,500,1845.727058
46.25,500,1851.585685
37.0,500,1857.43631
44.25,501,1863.276295
51.0,501,1869.140899
46.5,501,1874.9629
43.0,500,1880.780437
37.75,501,1886.586189
40.25,500,1892.400253
28.25,501,1898.225252
34.5,499,1904.03183
39.25,500,1909.873277
45.25,501,1915.696485
40.0,501,1921.562705
42.0,500,1927.412139
39.75,500,1933.217051
87.25,500,1939.023277
70.0,499,1944.858822
102.0,499,1950.669236
50.5,499,1956.478433
60.75,499,1962.258217
107.75,500,1968.073588
79.25,501,1973.925385
82.0,501,1979.744035
78.5,501,1985.576753
89.75,500,1991.413186
49.0,500,1997.240118
93.0,500,2003.070764
52.75,500,2008.868382
74.25,501,2014.65202
74.5,499,2020.460831
74.75,499,2026.274107
68.75,499,2032.070049
75.75,501,2037.90101
90.5,499,2043.743999
101.5,500,2049.594954
69.0,500,2055.391665
75.25,501,2061.194674
46.5,499,2067.009911
12.25,499,2072.822103
70.75,500,2078.611817
67.5,499,2084.393592
48.25,501,2090.246427
38.75,500,2096.07421
78.75,501,2101.902537
46.75,501,2107.72661
52.75,500,2113.567038
56.25,501,2119.399002
59.25,501,2125.188193
66.75,500,2130.964721
64.5,500,2136.78695
52.25,499,2142.609151
118.25,500,2148.438652
101.5,499,2154.240404
135.0,499,2160.047962
117.5,501,2165.910051
107.25,500,2171.793476
49.25,500,2177.614194
41.5,499,2183.495948
81.5,499,2189.35402
142.5,501,2195.213463
81.75,499,2201.10038
97.25,500,2206.994982
31.0,500,2212.843386
83.75,500,2218.654401
99.75,501,2224.535999
51.75,500,2230.350691
54.75,499,2236.182862
130.0,500,2241.991352
109.25,499,2247.765897
136.75,501,2253.667885
98.0,499,2259.507954
120.25,499,2265.404088
131.25,501,2271.282116
130.0,500,2277.195066
105.5,500,2283.078845
0.0,500,2288.94161
70.75,500,2294.7651
88.0,500,2300.575217
23.75,501,2306.526573
103.5,500,2312.421147
131.5,501,2318.363622
38.5,499,2324.200065
85.25,501,2330.044078
92.25,501,2335.912108
105.0,500,2341.744887
112.25,501,2347.597566
80.75,501,2353.443756
137.75,500,2359.366622
129.0,500,2365.305023
111.75,500,2371.243317
141.5,501,2377.153377
146.75,500,2383.055191
178.75,500,2388.919241
100.0,500,2394.787069
46.5,500,2400.62497
86.0,500,2406.476832
90.75,500,2412.372954
166.0,500,2418.341729
119.5,501,2424.238333
157.25,501,2430.238111
70.25,500,2436.192776
157.75,501,2442.11194
78.5,500,2448.122811
118.75,500,2454.058495
123.0,501,2460.03203
188.75,501,2465.981865
168.0,500,2471.972982
144.5,500,2477.950544
100.5,501,2483.909409
157.5,501,2489.936036
170.5,501,2495.929267
112.0,501,2501.927871
94.0,500,2507.804435
78.75,501,2513.679277
107.0,500,2519.578645
140.5,500,2525.481786
164.75,500,2531.381545
50.75,501,2537.18639
84.25,501,2542.914638
116.75,500,2548.937086
153.5,500,2554.893796
130.0,501,2560.903321
168.0,500,2566.813097
123.0,500,2572.784683
121.25,501,2578.760513
74.25,501,2584.717946
136.0,500,2590.671218
145.5,501,2596.64606
108.5,500,2602.565679
54.0,500,2608.429269
123.0,500,2614.375391
151.25,500,2620.322419
55.5,500,2626.294092
136.0,500,2632.201946
128.5,501,2638.095649
76.5,501,2644.026228
99.5,500,2649.880737
115.0,500,2655.779912
197.5,501,2661.69916
195.75,501,2667.678033
128.0,501,2673.621416
95.0,501,2679.511751
84.25,500,2685.417592
52.25,500,2691.370326
106.25,501,2697.281997
114.25,501,2703.221157
129.5,500,2709.148819
223.0,501,2715.163536
89.25,500,2721.154048
161.5,500,2727.09268
153.5,501,2733.056239
85.0,500,2739.020299
136.0,501,2744.965155
180.5,501,2750.939162
106.25,500,2756.924704
173.25,500,2762.910205
142.25,501,2768.876665
212.75,501,2774.910583
177.5,501,2780.887483
118.0,500,2786.875057
171.5,500,2792.872292
166.0,501,2798.831684
111.75,501,2804.729888
185.75,500,2810.701252
103.25,501,2816.681149
136.75,501,2822.66565
109.75,501,2828.598142
97.25,500,2834.549552
103.0,501,2840.489953
37.25,501,2846.416311
173.0,500,2852.389918
86.0,500,2858.343276
156.25,500,2864.282307
98.0,501,2870.263861
75.25,501,2876.315971
16.75,501,2882.110913
14.75,500,2887.934168
115.5,500,2893.758048
25.25,500,2899.525964
27.25,501,2905.301268
30.25,500,2911.087547
32.0,500,2916.927269
48.25,500,2922.723003
147.75,501,2928.582248
76.75,501,2934.525339
123.0,501,2940.495338
106.25,501,2946.401789
76.0,501,2952.264354
71.0,501,2958.155184
80.0,501,2963.978448
95.75,501,2969.823195
13.0,501,2975.623811
0.0,501,2981.422763
29.25,501,2987.234632
10.25,501,2993.019764
50.0,501,2998.814661
92.0,501,3004.649494
52.25,501,3010.573239
55.75,501,3016.469233
68.0,501,3022.401221
89.5,501,3028.34627
220.0,501,3034.327408
156.25,501,3040.312221
214.25,501,3046.325985
64.0,501,3052.15914
78.0,501,3058.014406
102.0,501,3063.861412
62.75,501,3069.703078
168.0,501,3075.555018
169.25,501,3081.558332
221.75,501,3087.541994
72.0,501,3093.527142
92.0,501,3099.408943
8.0,501,3105.262393
126.0,501,3111.079376
12.0,501,3117.106851
137.75,501,3123.057121
140.25,501,3128.939978
130.5,501,3134.824186
109.5,501,3140.741326
123.5,501,3146.678779
135.0,501,3152.542404
107.5,501,3158.413007
143.25,501,3164.349179
152.0,501,3170.292819
130.75,501,3176.317996
177.25,501,3182.226646
128.5,501,3188.181982
122.0,501,3194.059549
122.0,501,3199.932773
51.75,501,3205.89768
113.25,501,3211.858951
162.0,501,3217.895516
107.75,501,3223.912529
216.0,501,3229.911892
170.0,501,3235.946605
120.25,501,3241.973433
118.0,501,3248.005458
87.25,501,3253.98457
163.5,501,3259.933041
155.5,501,3265.924004
198.5,501,3271.895922
125.0,501,3277.833611
64.25,501,3283.77015
129.0,501,3289.702323
152.5,501,3295.707309
146.75,501,3301.667981
172.25,501,3307.653427
101.0,501,3313.621304
32.0,501,3319.478424
45.0,501,3325.282438
17.5,501,3331.009535
27.25,501,3336.783525
133.0,501,3342.750147
100.5,501,3348.701467
103.25,501,3354.603711
12.5,501,3360.363482
7.0,501,3366.129344
17.5,501,3371.94418
5.5,501,3377.707865
98.25,501,3383.693568
107.25,501,3389.517006
161.0,501,3395.455367
50.25,501,3401.297531
6.0,501,3407.097219
14.0,501,3412.888246
80.75,501,3418.764552
107.0,501,3424.663809
5.25,501,3430.474149
22.5,501,3436.252744
5.75,501,3442.021309
118.0,501,3447.827509
115.0,501,3453.723891
127.25,501,3459.603932
134.0,501,3465.501435
44.25,501,3471.381618
129.25,501,3477.373639
26.75,501,3483.177141
27.25,501,3488.952005
7.5,501,3494.725946
6.0,501,3500.43496
28.25,501,3506.21426
30.25,501,3511.974238
24.25,501,3517.685627
4.0,501,3523.369745
7.75,501,3529.099786
6.5,501,3534.824041
113.25,501,3540.595976
126.0,501,3546.523513
136.0,501,3552.400074
145.75,501,3558.249722
110.75,501,3564.137311
134.25,501,3570.043676
131.25,501,3575.938493
124.0,501,3581.833544
85.25,501,3587.756214
68.75,501,3593.661669
27.5,501,3599.485619
35.5,501,3605.297727
54.75,501,3611.175357
121.25,501,3617.045877
112.75,501,3622.941175
70.5,501,3628.844188
103.25,501,3634.798597
44.0,501,3640.709754
126.75,501,3646.596711
126.5,501,3652.559438
124.0,501,3658.553386
135.5,501,3664.517263
128.0,501,3670.414038
113.75,501,3676.32695
156.75,501,3682.274376
126.25,501,3688.173466
131.25,501,3694.057474
100.75,501,3699.944515
117.25,501,3705.867355
123.25,501,3711.717727
153.75,501,3717.59052
51.5,501,3723.490519
128.25,501,3729.436203
145.0,501,3735.35527
159.25,501,3741.294624
160.0,501,3747.251937
127.5,501,3753.23318
164.75,501,3759.163795
147.0,501,3765.12413
119.0,501,3771.051025
156.75,501,3776.984054
116.25,501,3783.006655
161.25,501,3788.92462
123.5,501,3794.883695
68.25,501,3800.81284
168.0,501,3806.736938
186.75,501,3812.634269
126.5,501,3818.530869
135.75,501,3824.473362
115.75,501,3830.30327
122.5,501,3836.15483
126.5,501,3842.089844
62.25,501,3847.977488
34.5,501,3853.803742
92.25,501,3859.609106
73.25,501,3865.500078
44.25,501,3871.385993
159.75,501,3877.287865
126.5,501,3883.277442
164.0,501,3889.233727
158.25,501,3895.204696
121.75,501,3901.21412
166.0,501,3907.206198
108.75,501,3913.147911
108.0,501,3919.044365
137.25,501,3925.016939
129.25,501,3930.953135
157.5,501,3936.848157
158.25,501,3942.819742
141.75,501,3948.740595
132.0,501,3954.641587
126.5,501,3960.584938
173.5,501,3966.474009
148.75,501,3972.430809
124.5,501,3978.409177
164.75,501,3984.400617
144.5,501,3990.430803
79.0,501,3996.462087
148.5,501,4002.409685
145.0,501,4008.384512
164.0,501,4014.400069
153.25,501,4020.436883
152.75,501,4026.483999
123.5,501,4032.567239
178.75,501,4038.59811
184.5,501,4044.59894
149.0,501,4050.643926
224.75,501,4056.723656
193.25,501,4062.759764
214.25,501,4068.75278
197.5,501,4074.749427
175.5,501,4080.785353
124.5,501,4086.718307
138.25,501,4092.672378
198.25,501,4098.646592
160.75,501,4104.592477
157.5,501,4110.588228
119.0,501,4116.659709
131.75,501,4122.722205
165.5,501,4128.701698
142.0,501,4134.700643
116.25,501,4140.751963
172.75,501,4146.78832
84.5,501,4152.808257
119.5,501,4158.776372
153.25,501,4164.792063
119.25,501,4170.82079
66.0,501,4176.816963
216.0,501,4182.783627
2.0,501,4188.511861
0.5,501,4194.157562
2.0,501,4199.825973
3.75,501,4205.477842
0.0,501,4211.246086
2.0,501,4216.955679
123.25,501,4222.878197
150.75,501,4228.850009
127.0,501,4234.864122
212.25,501,4240.846308
131.25,501,4246.869039
86.5,501,4252.837218
32.0,501,4258.795336
152.0,501,4264.799533
178.5,501,4270.812917
184.5,501,4276.781361
166.0,501,4282.750023
79.5,501,4288.603186
98.5,501,4294.575213
0.0,501,4300.571617
4.0,501,4306.318121
215.75,501,4312.293422
191.25,501,4318.218802
153.75,501,4324.120105
138.75,501,4330.031562
195.25,501,4336.019164
228.0,501,4342.022127
195.75,501,4348.017559
214.0,501,4353.961248
158.75,501,4359.95925
193.25,501,4365.946002
105.25,501,4371.805194
92.25,501,4377.66797
73.5,501,4383.508389
111.0,501,4389.417602
142.25,501,4395.319964
153.75,501,4401.238792
156.0,501,4407.179226
155.25,501,4413.073824
167.0,501,4419.09534
171.5,501,4425.024821
138.75,501,4430.947637
128.5,501,4436.863553
70.25,501,4442.706978
128.25,501,4448.629988
125.0,501,4454.480154
148.5,501,4460.391857
122.75,501,4466.290348
157.25,501,4472.256067
149.25,501,4478.190274
123.5,501,4484.090375
113.0,501,4489.996957
96.0,501,4495.894205
104.0,501,4501.73872
91.5,501,4507.721759
97.0,501,4513.586393
52.0,501,4519.448707
105.25,501,4525.354349
65.25,501,4531.186155
2.25,501,4537.013647
8.0,501,4542.823032
90.5,501,4548.648849
59.0,501,4554.497706
108.5,501,4560.360213
87.25,501,4566.262169
55.75,501,4572.141405
90.75,501,4578.011248
73.0,501,4583.86882
46.75,501,4589.708109
78.25,501,4595.60532
55.25,501,4601.484536
33.5,501,4607.310185
1.75,501,4613.083295
0.0,501,4618.863918
3.5,501,4624.643106
0.0,501,4630.266438
0.0,501,4635.996361
0.75,501,4641.81675
0.0,501,4647.610074
0.0,501,4653.400738
8.0,501,4659.152502
24.5,501,4664.975866
54.25,501,4670.862053
62.25,501,4676.731152
39.25,501,4682.584007
6.25,501,4688.411222
61.0,501,4694.25089
46.0,501,4700.125405
4.75,501,4705.965092
74.25,501,4711.821429
51.25,501,4717.66109
57.75,501,4723.519314
64.75,501,4729.357988
103.0,501,4735.20279
62.0,501,4741.099542
0.0,501,4746.865628
7.5,501,4752.638379
2.0,501,4758.397508
1.0,501,4764.184513
0.0,501,4769.972091
0.0,501,4775.757186
0.0,501,4781.526035
2.0,501,4787.325168
0.0,501,4793.10902
0.0,501,4798.915098
0.0,501,4804.702391
0.0,501,4810.483301
0.0,501,4816.258031
0.0,501,4822.028369
0.0,501,4827.834473
0.0,501,4833.600325
0.0,501,4839.375024
0.0,501,4845.135379
0.0,501,4850.931664
0.0,501,4856.740396
3.0,501,4862.493654
8.75,501,4868.242291
14.5,501,4873.998256
44.5,501,4879.824793
36.25,501,4885.651235
26.75,501,4891.463026
36.75,501,4897.28818
34.25,501,4903.117183
38.0,501,4908.945071
2.0,501,4914.823762
31.25,501,4920.657555
14.25,501,4926.491889
62.5,501,4932.342038
54.5,501,4938.186414
40.25,501,4944.080384
48.75,501,4949.903116
40.0,501,4955.744513
71.75,501,4961.570379
59.5,501,4967.418168
46.0,501,4973.275495
39.5,501,4979.122366
58.25,501,4984.984751
5.0,501,4990.816148
4.0,501,4996.638869
55.5,501,5002.413811
16.0,501,5008.146289
97.5,501,5013.995211
57.25,501,5019.859728
79.5,501,5025.698342
78.0,501,5031.565934
69.75,501,5037.406932
76.0,501,5043.26347
59.25,501,5049.124628
77.5,501,5054.94037
50.75,501,5060.705989
21.75,501,5066.502296
2.75,501,5072.284682
0.0,501,5078.051103
3.75,501,5083.868835
20.0,501,5089.735227
11.5,501,5095.554397
41.0,501,5101.415697
55.25,501,5107.30709
73.25,501,5113.203124
110.75,501,5119.147499
96.25,501,5125.096554
78.75,501,5131.036774
88.75,501,5136.965506
99.5,501,5142.897728
61.0,501,5148.886158
113.5,501,5154.775205
111.0,501,5160.649429
133.5,501,5166.544953
29.5,501,5172.402892
55.75,501,5178.231397
17.5,501,5184.034255
25.0,501,5189.907067
66.0,501,5195.782371
41.5,501,5201.667767
74.75,501,5207.542481
81.25,501,5213.435204
43.25,501,5219.315974
27.0,501,5225.149529
27.5,501,5230.99998
25.0,501,5236.884415
9.0,501,5242.697007
9.0,501,5248.532394
15.25,501,5254.382439
25.0,501,5260.211751
5.0,501,5266.082043
0.0,501,5271.751354
3.5,501,5277.511544
15.5,501,5283.303802
48.5,501,5289.163872
37.25,501,5295.051161
70.0,501,5300.948151
0.0,501,5306.702857
28.0,501,5312.524335
37.75,501,5318.339097
56.75,501,5324.23695
47.75,501,5330.151746
31.75,501,5336.074382
32.75,501,5341.983419
28.5,501,5347.874438
45.25,501,5353.768682
62.25,501,5359.662554
32.0,501,5365.504564
41.75,501,5371.377921
49.0,501,5377.305812
37.25,501,5383.253685
39.75,501,5389.170546
42.0,501,5395.111469
40.25,501,5401.014477
32.0,501,5406.935531
38.5,501,5412.859502
