#{"t_start": 1541099715.1326742, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,5.844109
0.0,501,10.429676
0.0,501,15.029651
0.0,501,19.73738
0.0,501,24.333359
0.0,501,28.924769
0.0,501,33.557083
0.0,501,38.149003
0.0,501,42.717231
0.0,501,47.377688
0.0,501,52.093737
0.0,501,56.680962
0.0,501,61.235992
0.0,501,65.806812
0.0,501,70.470849
0.0,501,75.1211
0.0,501,79.699218
0.0,501,84.365214
0.0,501,89.013899
0.0,501,93.600845
0.0,501,98.240327
0.0,501,102.907247
0.0,501,108.130044
0.0,501,113.320541
1.75,501,117.888436
0.0,501,122.52721
0.0,501,127.145881
0.0,501,131.747226
0.0,501,136.309382
0.0,501,140.93597
0.0,501,145.512992
0.0,501,150.150712
0.0,501,154.724553
5.0,501,159.346037
6.0,501,163.926876
8.25,501,168.590614
29.25,501,173.222267
33.0,501,177.971071
23.25,501,182.658559
24.25,501,187.288202
25.75,501,192.049112
51.5,501,196.743679
29.0,501,201.569002
30.25,501,206.294649
34.25,501,211.141482
29.0,501,215.911611
33.5,501,220.688486
31.0,501,225.532575
33.0,501,230.437174
36.0,501,235.208651
37.75,501,239.975197
32.5,501,244.737053
36.75,501,249.606171
32.0,501,254.360148
33.0,501,259.155519
37.5,501,263.92227
33.25,501,268.810813
30.75,501,273.601559
38.0,501,278.404642
36.0,501,283.171316
36.0,501,288.055084
35.25,501,293.106495
7.5,501,298.810261
36.0,501,304.369699
30.25,501,310.123979
35.5,501,315.668055
35.25,501,321.1836
21.0,501,326.757195
36.5,501,332.445189
39.0,501,337.938458
34.0,501,343.638839
42.25,501,349.257612
51.0,501,354.934201
27.25,501,360.586077
30.0,501,366.173983
30.5,501,371.631049
33.75,501,376.454962
36.25,501,381.245262
36.75,501,386.078861
30.0,501,390.902946
38.75,501,395.776584
37.25,501,400.528758
31.25,501,405.354946
30.5,501,410.157916
40.25,501,414.933139
31.0,501,419.7424
37.0,501,424.574088
37.0,501,429.315122
38.5,501,434.092403
29.5,501,438.854828
