#{"t_start": 1541124469.9020407, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,8.302285
0.0,501,15.40016
0.0,501,22.48304
0.0,501,29.58169
0.0,501,36.689684
0.0,501,43.816711
0.0,501,50.930127
0.0,501,58.037186
0.0,501,65.299613
0.0,501,72.854538
0.0,501,80.599497
0.0,501,87.76442
0.0,501,95.030284
0.0,501,102.281261
0.0,501,109.92993
0.0,501,117.137073
0.0,501,124.32033
2.75,501,131.525416
10.25,501,138.951233
18.75,501,146.367001
0.0,501,153.670947
27.0,501,161.013702
28.5,501,168.304984
35.0,501,175.59657
27.5,501,182.889204
34.0,501,190.21662
36.0,501,197.500941
37.0,501,204.840818
34.25,501,212.301684
34.75,501,219.803416
30.0,501,227.19366
33.75,501,234.551353
25.75,501,241.876512
32.5,501,249.226375
33.75,501,256.590161
27.25,501,263.968042
35.25,501,271.330863
42.25,501,279.00682
33.75,501,286.364606
37.5,501,293.694019
31.75,501,301.08487
37.0,501,308.418448
42.0,501,315.881541
33.5,501,323.222381
35.0,501,330.558163
33.5,501,337.913941
35.5,501,345.288206
32.75,501,352.637047
40.25,501,359.980808
37.5,501,367.304243
35.5,501,374.710796
32.5,501,382.083495
40.0,501,389.440947
31.5,501,396.796982
34.5,501,404.167271
35.5,501,411.550886
35.5,501,418.9102
37.0,501,426.24889
34.75,501,433.606058
33.0,501,440.950111
33.5,501,448.327331
28.5,501,455.678998
38.5,501,463.059568
37.25,501,470.427676
32.5,501,477.776343
37.75,501,485.160079
36.0,501,492.52922
34.5,501,499.873961
12.5,501,507.239193
35.25,501,514.598215
33.5,501,521.969072
33.75,501,529.328135
39.25,501,536.69351
29.75,501,544.07272
38.25,501,551.435013
41.0,501,558.810853
36.25,501,566.175524
37.0,501,573.543021
31.5,501,580.888359
33.0,501,588.238281
35.0,501,595.608885
32.0,501,602.962108
22.75,501,610.417914
37.75,501,617.942325
30.25,501,625.316928
36.5,501,632.812173
33.75,501,640.170726
33.5,501,647.537308
40.5,501,654.903714
33.0,501,662.425997
35.75,501,670.935514
38.75,501,678.451568
39.0,501,685.780977
37.5,501,693.114521
33.0,501,700.496422
35.0,501,707.918199
37.5,501,715.289962
36.0,501,722.662958
37.0,501,730.026353
35.5,501,737.405598
38.5,501,744.802069
37.5,501,752.16808
31.25,501,759.580705
33.5,501,767.114498
38.25,501,774.732862
37.5,501,782.133746
36.0,501,789.524453
36.25,501,796.900841
34.5,501,804.268523
31.0,501,811.640121
37.25,501,819.036644
41.5,501,826.71658
36.75,501,834.074869
37.0,501,841.411595
32.0,501,848.766123
32.25,501,856.129755
36.5,501,863.468543
