#{"t_start": 1541088154.5516715, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,5.372634
4.0,501,9.673668
0.0,501,13.979047
0.0,501,18.29301
0.0,501,22.674976
0.0,501,27.192541
0.0,501,31.606745
0.0,501,36.070507
0.0,501,40.992688
0.0,501,45.986105
0.0,501,50.863862
0.0,501,55.907024
5.5,501,61.187252
0.5,501,66.196449
12.5,501,71.107756
15.5,501,76.200124
14.75,501,81.265788
14.5,501,86.156771
20.75,501,91.097836
19.75,501,95.968527
15.5,501,101.192549
24.0,501,106.352346
23.75,501,111.604647
23.5,501,116.652411
26.25,501,121.658979
40.0,501,126.794297
33.5,501,132.007911
30.5,501,137.145872
32.0,501,142.210287
39.75,501,147.535657
40.0,501,152.712363
42.25,501,157.956318
44.75,501,163.063955
38.25,501,168.298231
42.25,501,173.400783
40.75,501,178.523242
51.25,501,183.546876
40.5,501,188.675998
32.0,501,193.651359
36.25,501,198.709461
30.75,501,203.649137
46.0,501,208.727492
38.0,501,213.781739
41.0,501,218.899253
30.0,501,224.008841
32.5,501,229.118338
34.0,501,234.303401
36.0,501,239.649528
32.25,501,244.871469
30.5,501,250.023343
44.0,501,255.223867
35.0,501,260.454268
40.25,501,265.75657
41.75,501,270.849591
38.25,501,275.916932
27.75,501,281.040553
34.75,501,286.305637
39.0,501,291.395735
38.0,501,296.629537
29.75,501,301.82714
35.25,501,307.062156
30.75,501,312.22194
34.25,501,317.500647
38.75,501,323.04186
43.75,501,328.563726
30.75,501,333.945777
44.5,501,339.622701
42.0,501,345.406498
33.75,501,352.418821
51.75,501,357.52849
35.5,501,362.710365
32.5,501,367.843936
41.75,501,373.045853
39.0,501,378.233729
45.0,501,383.442417
38.0,501,388.541699
39.0,501,393.84995
38.25,501,399.114847
39.25,501,404.159138
29.5,501,409.258049
33.5,501,414.494318
38.0,501,419.715137
42.0,501,424.77569
42.5,501,430.098824
41.75,501,435.248873
43.5,501,440.456007
48.25,501,445.499577
38.0,501,450.680141
34.0,501,455.810488
35.0,501,460.855266
44.5,501,465.993258
39.25,501,471.180568
44.5,501,476.490904
37.25,501,481.18897
27.75,501,485.921461
33.5,501,490.673373
38.25,501,495.325016
39.25,501,499.876221
37.75,501,504.439359
36.5,501,508.992928
44.25,501,513.569446
40.5,501,518.196251
41.5,501,522.854222
43.0,501,527.40308
35.0,501,531.938689
35.25,501,536.614924
44.75,501,541.211502
37.5,501,545.828692
6.75,501,550.408326
47.25,501,554.934122
30.75,501,559.488651
51.75,501,564.030794
33.75,501,568.667774
38.5,501,573.359088
44.0,501,578.110598
42.5,501,583.541816
43.0,501,588.791834
39.25,501,593.971741
41.75,501,598.73538
34.25,501,603.358716
43.75,501,607.979457
45.25,501,612.877613
42.25,501,619.303233
39.25,501,626.561101
36.25,501,633.942917
48.75,501,641.286556
39.75,501,648.603561
43.75,501,654.754046
39.75,501,659.872493
39.75,501,665.187798
44.75,501,670.324355
48.0,501,676.825253
34.75,501,682.59405
40.25,501,687.58773
42.5,501,692.624856
44.75,501,697.683339
31.25,501,702.707995
36.0,501,707.808236
40.5,501,712.850269
40.75,501,718.003909
43.5,501,722.818379
32.75,501,727.982985
36.75,501,733.167566
41.5,501,738.078719
40.5,501,742.470817
37.75,501,746.831149
31.5,501,751.188627
30.0,501,755.550212
31.5,501,759.90097
22.0,501,764.257405
22.0,501,768.670523
28.25,501,773.114871
44.75,501,777.599742
