#{"t_start": 1541088154.527475, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,5.396915
0.0,501,9.697892
4.0,501,14.003483
4.0,501,18.317207
0.0,501,22.69943
0.0,501,27.216821
4.0,501,31.632459
0.0,501,36.094782
4.0,501,41.016979
4.0,501,46.0105
2.0,501,50.888097
0.0,501,55.93157
5.75,501,61.211474
13.25,501,66.220837
0.0,501,71.13174
17.25,501,76.22446
11.75,501,81.290118
13.75,501,86.180862
31.5,501,91.122174
20.5,501,95.992736
20.25,501,101.21771
22.75,501,106.37658
31.75,501,111.629012
22.25,501,116.677482
27.5,501,121.682786
36.0,501,126.818484
30.5,501,132.032243
36.5,501,137.170068
25.5,501,142.234356
28.5,501,147.562449
38.25,501,152.736592
40.75,501,157.980367
41.75,501,163.088049
44.0,501,168.321561
30.75,501,173.424907
46.5,501,178.547373
46.5,501,183.571146
46.0,501,188.700208
35.5,501,193.675446
38.25,501,198.7337
36.5,501,203.674337
37.75,501,208.751722
30.75,501,213.806042
39.5,501,218.924283
35.5,501,224.032858
33.5,501,229.142537
32.75,501,234.327703
41.0,501,239.6738
28.75,501,244.895547
23.75,501,250.048199
37.0,501,255.24821
45.0,501,260.478492
31.25,501,265.780771
38.75,501,270.873802
37.5,501,275.940911
32.5,501,281.065077
32.75,501,286.330046
8.25,501,291.42098
39.25,501,296.654091
33.0,501,301.851502
32.5,501,307.087349
43.0,501,312.246131
43.5,501,317.523887
39.75,501,323.066045
42.25,501,328.586879
42.25,501,333.970007
34.75,501,339.646668
31.5,501,345.430793
29.0,501,352.4431
35.5,501,357.552602
34.5,501,362.733392
45.5,501,367.868329
40.0,501,373.070265
35.0,501,378.258014
44.25,501,383.466485
35.5,501,388.565918
42.75,501,393.874013
36.0,501,399.139362
43.75,501,404.183457
41.0,501,409.289329
33.75,501,414.518768
44.75,501,419.739446
42.75,501,424.800011
46.5,501,430.12304
37.25,501,435.273121
41.0,501,440.480227
41.0,501,445.523473
5.5,501,450.704173
38.0,501,455.829006
46.25,501,460.879576
42.25,501,466.01751
37.75,501,471.204605
42.5,501,476.515153
40.75,501,481.213279
19.5,501,485.945757
36.5,501,490.697703
37.0,501,495.349146
34.0,501,499.900307
36.25,501,504.463465
39.25,501,509.017242
44.25,501,513.593642
47.25,501,518.220485
37.25,501,522.878602
50.25,501,527.427182
40.75,501,531.962738
37.0,501,536.639049
32.75,501,541.23561
46.0,501,545.852928
36.0,501,550.432617
30.0,501,554.958483
37.25,501,559.512847
37.75,501,564.054973
39.0,501,568.692018
27.0,501,573.383512
42.5,501,578.13505
48.25,501,583.566127
46.75,501,588.816047
39.75,501,593.995965
38.25,501,598.759675
35.25,501,603.382844
39.25,501,608.003641
43.5,501,612.90181
41.25,501,619.329137
40.25,501,626.585377
44.25,501,633.968272
44.75,501,641.310814
45.5,501,648.627521
42.25,501,654.778471
38.5,501,659.896729
44.75,501,665.212092
44.75,501,670.348531
37.75,501,676.849387
41.0,501,682.618289
38.0,501,687.612051
41.75,501,692.649252
46.0,501,697.707418
39.75,501,702.732379
35.75,501,707.832518
36.0,501,712.874703
42.75,501,718.028476
35.75,501,722.842611
37.5,501,728.007135
29.75,501,733.191806
42.25,501,738.102998
29.5,501,742.494878
33.25,501,746.855439
26.75,501,751.212937
29.75,501,755.57446
31.0,501,759.925142
23.75,501,764.281623
19.5,501,768.694752
26.75,501,773.139222
0.0,501,777.623686
41.25,501,782.226366
51.75,501,786.730383
38.75,501,791.27098
41.25,501,795.767592
32.5,501,800.251299
34.25,501,804.752315
39.75,501,809.231679
44.25,501,813.784251
38.5,501,818.36731
47.25,501,822.921266
43.5,501,827.433805
38.75,501,831.912748
39.5,501,836.336035
40.25,501,840.810004
32.75,501,845.326076
28.25,501,849.800104
36.75,501,854.283311
42.25,501,858.790575
34.5,501,863.331781
38.0,501,867.942626
35.5,501,872.507724
42.25,501,877.072729
45.75,501,881.671594
36.5,501,886.217631
47.25,501,890.730305
39.25,501,895.247248
42.25,501,899.728212
34.25,501,904.238522
42.75,501,908.771337
36.75,501,913.350742
32.75,501,917.93971
36.0,501,922.538213
45.5,501,927.129137
30.25,501,931.70742
47.75,501,936.252013
36.0,501,940.835509
40.25,501,945.401759
26.0,501,949.860795
22.0,501,954.287122
31.5,501,958.700745
38.75,501,963.174911
42.0,501,967.761766
49.5,501,972.342111
38.75,501,976.832395
47.25,501,981.487441
36.0,501,986.061127
37.75,501,990.580995
40.5,501,995.150878
46.75,501,999.742227
35.0,501,1004.289081
42.5,501,1008.876822
40.5,501,1013.481504
38.0,501,1018.118073
40.5,501,1022.638725
41.75,501,1027.120686
40.5,501,1031.595293
37.0,501,1036.060147
30.75,501,1040.722522
33.75,501,1045.274297
35.0,501,1049.84005
44.75,501,1054.314887
45.75,501,1058.808541
37.5,501,1063.33101
44.75,501,1067.850698
40.5,501,1072.641272
38.25,501,1077.996162
63.0,501,1085.149728
41.0,501,1092.082624
53.25,501,1097.105406
42.75,501,1102.396613
45.0,501,1107.648693
40.75,501,1113.000983
39.0,501,1118.848936
45.25,501,1124.05585
43.75,501,1129.237676
43.5,501,1134.372181
0.0,501,1139.612239
32.0,501,1144.94806
42.75,501,1150.336422
45.0,501,1155.607047
43.75,501,1160.117737
38.5,501,1164.660941
39.0,501,1169.11963
58.5,501,1173.556102
41.75,501,1177.994774
45.5,501,1182.425661
39.75,501,1186.832211
44.0,501,1191.415555
29.25,501,1195.98722
41.25,501,1200.60012
43.5,501,1205.1531
36.25,501,1209.708596
41.5,501,1214.272074
28.0,501,1218.759155
31.0,501,1223.238608
34.5,501,1227.700087
29.5,501,1232.190157
24.25,501,1236.674286
23.75,501,1241.169352
39.0,501,1245.756531
40.5,501,1250.302465
38.0,501,1254.790151
33.0,501,1259.327972
38.25,501,1263.868906
36.0,501,1268.419947
40.75,501,1272.968817
41.5,501,1277.536561
43.75,501,1282.129601
36.75,501,1286.680748
48.0,501,1291.205766
36.0,501,1295.754653
43.5,501,1300.331193
33.25,501,1304.888286
37.75,501,1309.418219
40.0,501,1313.97441
41.75,501,1318.52573
44.25,501,1323.088207
43.25,501,1327.585688
33.75,501,1332.088036
43.5,501,1336.60393
58.0,501,1341.110665
43.75,501,1345.607477
40.75,501,1350.152082
49.0,501,1354.744046
41.25,501,1359.286139
44.0,501,1363.840214
36.0,501,1368.378709
41.75,501,1372.911969
34.5,501,1377.405431
37.25,501,1381.90966
43.0,501,1386.481972
44.5,501,1391.059296
40.25,501,1395.631634
51.25,501,1400.182981
42.5,501,1404.702088
37.5,501,1409.250989
37.25,501,1413.737299
38.75,501,1418.294806
38.25,501,1422.848716
36.25,501,1427.347814
38.5,501,1431.820035
43.75,501,1436.299276
48.25,501,1440.855358
34.75,501,1445.415356
37.25,501,1449.935202
46.5,501,1454.441152
42.75,501,1459.298415
41.5,501,1463.950439
41.0,501,1468.622079
36.25,501,1473.163437
40.75,501,1477.692751
41.0,501,1482.265561
36.25,501,1486.843091
41.75,501,1491.394398
32.75,501,1495.887054
36.5,501,1500.369711
44.0,501,1504.905711
39.75,501,1509.411849
38.5,501,1513.940371
45.5,501,1518.485546
39.75,501,1522.994867
53.25,501,1527.546129
42.25,501,1532.104469
45.25,501,1536.72379
53.5,501,1541.303194
42.0,501,1545.845191
39.25,501,1550.440555
46.75,501,1555.019593
43.75,501,1559.568253
40.25,501,1564.077728
41.0,501,1568.574479
36.25,501,1573.087561
37.75,501,1577.612236
39.25,501,1582.173617
41.0,501,1586.670163
51.75,501,1591.137789
44.25,501,1595.618654
38.5,501,1600.118315
40.0,501,1604.612154
41.25,501,1609.112248
49.25,501,1613.617243
77.5,501,1618.158952
75.25,501,1622.755857
71.25,501,1627.278135
50.0,501,1631.800865
38.25,501,1636.289713
39.25,501,1640.816359
56.75,501,1645.319245
57.75,501,1649.819503
20.0,501,1654.317735
25.75,501,1658.774332
2.5,501,1663.243875
38.0,501,1667.743104
48.0,501,1672.277589
43.25,501,1676.824559
38.0,501,1681.373481
64.25,501,1685.929132
74.0,501,1690.453251
70.0,501,1694.998074
41.75,501,1699.576501
60.75,501,1704.133114
69.5,501,1708.675526
39.0,501,1713.198884
53.25,501,1717.726584
40.5,501,1722.217392
37.5,501,1726.716675
34.0,501,1731.169525
44.5,501,1735.704747
47.25,501,1740.215595
57.5,501,1744.659513
50.5,501,1749.137148
28.75,501,1753.61715
38.5,501,1758.077928
105.75,501,1762.558085
56.5,501,1767.041929
46.75,501,1771.496313
68.25,501,1776.003308
40.25,501,1780.53732
14.5,501,1784.983487
57.25,501,1789.386782
40.5,501,1793.918786
41.75,501,1798.458098
57.75,501,1803.000021
62.5,501,1807.502893
48.0,501,1812.009559
55.0,501,1816.513532
44.0,501,1820.984092
47.5,501,1825.598532
56.25,501,1830.112877
54.75,501,1834.6101
55.75,501,1839.096598
41.25,501,1843.580456
89.0,501,1848.092023
92.25,501,1852.64461
139.5,501,1857.173688
113.75,501,1861.723097
55.75,501,1866.264066
23.5,501,1870.78964
39.0,501,1875.352234
56.0,501,1879.848436
48.5,501,1884.37068
40.75,501,1888.869149
40.5,501,1893.327412
42.0,501,1897.747712
45.0,501,1902.317729
48.75,501,1906.783663
53.0,501,1911.574753
48.75,501,1916.54794
92.25,501,1922.433644
74.0,501,1929.777294
72.0,501,1936.163009
84.5,501,1943.089285
82.5,501,1950.005059
67.5,501,1956.003438
67.0,501,1961.305707
47.75,501,1968.306512
62.5,501,1973.187106
55.75,501,1978.16349
53.5,501,1983.251148
103.25,501,1989.190122
39.75,501,1994.327753
81.75,501,2001.573955
55.75,501,2008.641596
62.0,501,2015.616752
39.25,501,2022.574621
59.0,501,2029.7257
48.25,501,2036.79547
68.0,501,2042.057907
53.75,501,2049.076773
84.0,501,2056.16939
85.75,501,2061.359904
69.75,501,2068.250345
67.75,501,2074.620309
63.0,501,2081.622867
78.25,501,2087.510064
35.75,501,2092.914781
24.75,501,2099.371115
57.25,501,2104.479263
104.5,501,2111.311868
38.0,501,2116.363914
38.5,501,2121.37328
35.25,501,2126.384111
39.0,501,2131.402197
40.0,501,2136.447014
43.5,501,2142.197192
36.75,501,2148.99599
35.0,501,2155.902205
41.0,501,2160.932793
33.5,501,2167.78406
33.5,501,2172.900591
42.5,501,2178.229926
63.75,501,2183.396973
83.0,501,2188.696208
75.25,501,2194.047167
77.5,501,2199.260304
75.25,501,2206.051562
112.25,501,2211.206669
81.5,501,2216.984828
32.75,501,2221.976469
35.0,501,2227.248653
79.0,501,2232.563306
105.75,501,2237.726283
85.75,501,2242.807224
139.25,501,2249.206572
135.5,501,2254.777541
136.5,501,2261.35983
113.75,501,2266.616426
74.25,501,2271.739447
126.25,501,2276.766837
115.75,501,2281.775608
107.0,501,2286.888697
80.75,501,2291.927878
102.0,501,2296.875777
82.5,501,2301.789113
72.0,501,2306.705197
77.75,501,2311.845428
85.25,501,2316.873022
87.75,501,2321.838167
145.0,501,2326.894742
157.5,501,2331.965077
106.75,501,2336.932972
100.0,501,2341.876328
144.0,501,2346.852393
155.75,501,2351.939937
143.0,501,2357.047589
149.75,501,2362.130001
168.0,501,2367.280796
193.25,501,2372.474951
176.75,501,2377.589361
179.5,501,2382.685389
130.25,501,2387.725417
133.0,501,2394.539062
149.75,501,2400.044034
137.5,501,2405.184277
88.0,501,2410.382383
114.0,501,2415.362778
125.0,501,2420.674052
104.75,501,2425.955897
99.0,501,2431.172765
118.75,501,2436.403509
139.5,501,2441.710398
113.0,501,2447.026728
72.5,501,2452.140894
114.0,501,2457.215619
157.5,501,2462.450384
120.5,501,2469.574535
161.0,501,2474.757682
78.75,501,2479.928749
129.0,501,2485.020341
123.75,501,2490.191401
171.0,501,2495.310399
111.5,501,2500.423668
149.0,501,2505.731479
37.75,501,2511.006674
124.5,501,2516.227279
142.75,501,2521.765371
153.0,501,2527.035849
95.25,501,2532.169226
147.5,501,2537.378793
171.0,501,2542.582823
162.5,501,2547.703454
81.75,501,2553.356541
82.75,501,2559.356722
85.25,501,2564.472701
113.0,501,2570.543323
72.0,501,2576.307897
96.5,501,2581.610726
130.25,501,2587.232536
165.0,501,2592.516396
148.5,501,2597.878985
81.75,501,2603.184762
85.0,501,2609.203541
117.0,501,2614.654654
93.25,501,2619.873418
148.5,501,2625.093565
126.25,501,2630.309011
40.25,501,2635.576527
139.5,501,2640.937302
135.75,501,2646.362391
149.5,501,2653.486533
182.25,501,2658.659682
141.5,501,2664.599072
121.0,501,2670.700136
87.5,501,2676.114122
117.75,501,2681.35442
161.25,501,2686.907002
94.0,501,2692.353792
112.5,501,2697.752655
108.25,501,2704.907239
126.25,501,2711.986524
141.0,501,2717.290508
202.25,501,2722.50313
115.25,501,2727.703578
165.75,501,2732.900564
118.5,501,2738.067365
120.75,501,2743.320049
126.75,501,2748.820956
126.5,501,2756.253381
148.25,501,2762.887159
118.75,501,2768.66505
172.5,501,2775.683996
128.0,501,2782.680921
147.5,501,2789.465716
116.25,501,2794.93398
128.0,501,2801.908592
119.25,501,2809.056472
127.0,501,2815.974974
81.25,501,2821.791537
74.25,501,2828.041067
58.0,501,2834.877139
89.5,501,2841.976584
47.0,501,2847.631999
46.5,501,2853.930468
54.75,501,2860.864742
45.5,501,2866.076335
30.75,501,2871.125617
56.0,501,2876.349865
51.25,501,2881.330712
69.25,501,2886.383696
73.75,501,2891.409644
41.0,501,2896.527428
74.25,501,2902.061241
65.75,501,2909.12051
56.0,501,2915.978473
134.25,501,2923.123374
125.5,501,2930.216223
174.0,501,2937.243057
93.5,501,2942.676615
144.5,501,2947.983756
114.75,501,2954.950175
132.25,501,2960.71167
161.25,501,2967.202793
87.0,501,2974.345022
134.25,501,2981.405894
124.5,501,2988.424701
91.25,501,2994.612851
144.0,501,3000.761407
182.25,501,3006.315085
123.5,501,3013.15275
190.5,501,3020.238917
146.5,501,3027.342375
132.0,501,3033.64969
106.5,501,3039.620171
123.75,501,3046.52479
164.25,501,3053.274804
126.0,501,3058.620584
67.25,501,3064.370423
90.5,501,3070.864802
14.25,501,3077.840221
54.0,501,3084.881808
30.75,501,3091.430997
92.25,501,3097.247732
46.5,501,3104.316294
175.0,501,3111.458794
144.75,501,3118.614804
124.0,501,3125.035953
56.75,501,3131.599004
30.5,501,3137.923555
131.75,501,3144.489494
129.25,501,3151.599603
147.5,501,3158.703463
146.75,501,3165.973728
166.0,501,3173.136452
103.75,501,3178.532674
126.25,501,3184.097534
128.5,501,3191.004147
123.0,501,3197.757758
36.75,501,3203.226851
52.0,501,3210.297375
96.5,501,3216.137984
119.75,501,3222.432004
119.75,501,3229.43503
133.25,501,3236.038941
132.5,501,3242.147898
153.25,501,3249.245783
173.0,501,3254.510535
134.0,501,3261.648033
152.0,501,3268.72656
149.5,501,3274.45789
40.0,501,3281.067019
112.0,501,3288.092735
139.75,501,3294.436644
155.5,501,3300.307647
149.5,501,3307.376006
155.0,501,3313.087058
141.5,501,3320.113935
103.0,501,3327.206164
160.5,501,3334.187056
122.75,501,3340.55454
173.25,501,3346.617096
168.25,501,3353.665613
105.5,501,3360.497592
113.5,501,3366.627306
78.5,501,3372.951212
38.75,501,3380.077263
123.75,501,3386.551457
125.5,501,3392.359463
86.0,501,3399.326403
127.25,501,3406.361018
124.0,501,3411.641846
134.0,501,3418.724335
125.0,501,3425.720953
106.75,501,3432.815843
63.25,501,3439.698518
140.0,501,3445.952641
115.0,501,3452.534641
143.5,501,3459.603881
137.5,501,3464.126401
162.5,501,3468.606234
158.25,501,3473.098891
132.5,501,3477.582581
119.5,501,3482.18656
125.0,501,3486.864687
140.75,501,3491.465715
118.25,501,3496.095289
123.0,501,3500.699086
71.0,501,3505.328653
66.25,501,3509.998741
111.5,501,3514.652904
165.5,501,3519.234527
118.25,501,3523.811271
121.25,501,3528.444128
170.5,501,3533.039192
132.75,501,3537.725432
139.0,501,3542.369913
146.0,501,3547.041691
97.25,501,3551.693477
150.0,501,3556.343295
141.75,501,3561.008755
156.0,501,3565.568633
144.25,501,3570.243516
148.0,501,3574.906407
83.0,501,3579.567091
