#{"t_start": 1541058403.8507793, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,478,6.81653
0.0,492,16.318915
0.0,460,23.449661
0.0,462,31.143089
0.0,464,37.136878
1.5,500,47.959353
0.0,488,58.52671
0.0,474,67.308386
2.0,460,76.100751
5.5,451,85.000906
0.0,492,93.1534
0.0,481,100.655731
0.0,468,109.591843
0.0,493,118.21043
0.0,485,127.197982
2.25,464,136.680049
0.0,480,147.379559
0.0,483,158.39629
2.0,484,168.005918
0.0,501,174.69455
7.5,480,181.231455
9.75,458,187.277166
7.5,485,195.797969
11.5,484,202.917949
14.5,464,211.408056
17.25,484,220.756236
22.75,483,229.15507
49.0,470,236.785347
47.75,453,244.661693
29.0,460,253.241355
48.75,486,261.794119
30.5,481,268.479818
24.5,464,275.292865
31.0,490,284.787794
42.75,455,293.901931
38.0,485,303.436896
14.0,461,309.762633
18.25,458,316.017691
15.25,457,324.423624
16.0,471,333.711029
14.25,490,343.503802
14.75,475,350.168743
30.75,493,359.653554
2.5,462,368.785074
10.5,469,378.304361
36.0,472,384.751569
18.25,473,393.979927
15.25,463,403.130644
23.5,468,412.498903
32.5,459,421.826133
17.0,457,430.645313
35.5,482,440.014931
12.5,480,449.528425
16.5,473,459.038907
32.25,471,465.50226
40.75,501,474.914013
15.0,454,482.331808
34.0,498,488.449638
11.5,472,494.370938
14.75,454,499.668275
36.75,500,505.598222
38.25,476,511.207228
28.75,477,516.929115
26.25,487,522.795794
21.5,495,528.597538
17.75,454,533.960419
15.5,457,539.329043
45.5,501,545.318861
15.5,451,550.719337
21.75,489,556.480319
9.75,470,562.090207
5.75,472,567.570714
8.75,486,573.259464
26.75,487,579.140383
20.25,454,584.491069
14.5,476,590.09036
31.25,485,595.824453
14.75,469,601.417337
15.75,481,606.946477
14.0,479,612.732135
19.5,479,618.337727
29.5,488,624.015002
12.75,475,629.622684
61.0,495,635.527048
21.25,474,641.178983
13.75,452,646.522203
18.25,480,652.116329
23.75,471,657.7062
14.0,451,663.286256
23.25,495,669.190574
15.75,477,674.835267
36.75,497,680.774493
17.0,466,686.322497
39.0,495,692.242227
44.0,500,698.062303
47.25,498,704.191683
20.25,482,709.834905
31.5,495,715.593976
15.0,461,721.214569
37.75,470,726.871175
15.25,452,732.142894
32.0,495,738.133676
16.75,451,743.633833
37.0,482,749.459269
30.75,457,754.839556
21.75,467,760.424082
38.75,462,765.93457
65.5,495,771.565028
14.5,474,777.326559
55.5,475,783.075527
76.5,478,788.603089
15.5,482,794.452254
33.25,460,799.918443
5.25,465,805.409945
33.25,490,811.185447
35.75,490,817.113957
16.25,468,822.778338
16.25,457,828.33678
30.75,486,834.130761
14.5,463,839.702313
29.5,491,845.492751
16.0,471,850.940874
11.75,476,856.488129
6.5,472,862.0287
18.5,455,867.560481
27.25,494,873.497207
20.75,463,878.980855
46.5,500,885.025179
60.75,491,890.872558
27.25,498,896.592495
40.75,495,902.344606
33.75,476,907.891884
22.5,479,913.485705
40.5,494,919.222083
14.0,472,924.793505
53.0,468,930.520476
21.5,463,936.030113
10.5,458,941.35349
18.0,477,946.887399
21.75,468,952.59851
7.0,461,958.141072
7.0,478,964.025107
24.5,494,969.97033
29.0,490,975.717183
15.25,485,981.40144
8.75,486,987.23682
34.5,498,992.908339
14.5,464,998.427022
43.0,500,1004.368059
13.5,477,1009.940895
6.75,462,1015.381184
13.5,454,1020.89776
23.0,481,1026.675225
43.75,495,1032.526066
21.75,480,1038.095872
14.0,466,1043.664911
25.5,467,1049.294034
40.5,488,1055.098799
69.75,477,1061.176889
16.25,454,1066.869038
13.25,460,1072.450029
22.0,451,1077.851452
26.25,469,1083.428907
11.75,469,1088.872692
15.0,452,1094.189257
32.75,476,1099.785899
22.25,482,1105.527516
21.75,489,1111.193342
16.25,484,1116.806649
21.75,484,1122.613001
17.0,476,1128.183449
31.0,500,1133.998339
23.75,492,1139.633456
22.25,455,1145.001867
31.75,501,1150.910599
20.0,460,1156.303654
5.75,467,1161.736656
31.0,465,1167.089859
50.75,455,1172.759401
31.25,488,1178.54128
16.25,461,1184.138773
20.25,456,1189.546191
32.25,480,1195.042981
11.0,460,1200.413236
40.5,499,1206.289594
36.25,461,1211.835333
18.25,482,1217.448262
13.0,451,1222.796614
45.75,489,1228.570269
55.25,496,1234.386631
29.5,468,1239.971192
8.0,453,1245.542558
10.25,470,1251.267492
9.5,469,1256.798426
2.25,481,1262.347926
19.25,451,1267.753096
19.0,472,1273.485157
3.75,462,1279.229491
16.0,464,1284.714952
37.5,488,1290.390666
21.75,468,1295.87996
8.75,471,1301.611756
39.75,491,1307.378634
37.5,480,1313.024736
22.75,487,1318.82242
34.0,494,1324.715492
48.25,488,1330.507112
40.25,495,1336.213327
8.25,491,1342.092246
12.25,472,1347.65912
30.25,466,1353.135457
13.5,461,1358.551464
16.25,492,1364.389765
36.0,482,1369.872746
17.75,487,1375.791785
11.0,458,1381.42796
20.0,461,1387.148036
18.75,452,1392.480829
22.25,476,1398.191752
40.0,496,1403.89353
24.0,463,1409.449108
27.25,486,1415.36167
20.75,467,1420.896228
32.75,500,1426.776373
27.25,475,1432.450988
28.5,480,1438.143718
24.5,457,1443.552032
23.5,468,1449.265621
34.75,500,1455.116751
13.25,457,1460.518109
7.75,461,1466.172719
42.0,492,1472.075628
26.0,482,1477.566796
16.5,472,1483.34046
32.75,501,1489.114173
30.5,477,1494.836228
20.5,458,1500.275073
21.0,486,1506.084115
14.25,458,1511.615675
24.5,473,1517.213377
13.5,469,1522.922634
17.0,485,1528.656592
33.75,476,1534.437398
8.75,472,1539.905858
24.0,483,1545.57301
19.25,488,1551.295585
30.75,493,1556.96793
15.25,490,1562.576529
29.0,474,1568.028031
9.0,453,1573.441856
27.0,489,1579.169204
37.75,501,1585.307161
37.25,455,1590.867863
