#{"t_start": 1541058403.794899, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,486,7.031156
0.0,478,16.261805
0.0,495,24.30529
0.0,460,31.834681
0.0,462,37.788097
0.75,478,48.105364
0.0,501,59.112751
4.0,471,67.888206
2.0,461,76.408057
0.0,480,86.136416
0.0,499,94.644652
1.25,459,101.478431
0.0,467,110.110528
0.0,460,118.10576
0.0,478,126.842727
2.0,465,136.495593
0.0,460,146.509768
5.0,479,157.743447
22.25,467,167.385292
0.5,491,173.833511
0.0,490,180.508973
7.25,479,186.953903
21.5,498,195.217104
11.75,468,202.440221
10.5,470,211.028847
17.75,461,219.777335
26.75,493,228.290358
27.25,456,235.729889
27.25,465,243.587087
61.0,493,252.967888
22.75,483,261.615138
34.25,496,268.632359
26.5,453,275.12699
52.75,458,284.053962
6.5,451,292.978928
28.25,495,302.937223
36.0,499,309.923427
18.5,458,316.189112
26.25,486,324.940089
41.75,485,334.486295
10.75,486,344.293449
16.75,476,350.805098
27.75,499,360.687626
15.75,470,369.98395
12.75,481,379.32445
14.5,484,385.96397
16.75,451,394.828711
48.25,472,404.285901
16.75,460,413.586028
48.0,463,423.008873
57.5,462,431.75672
22.5,493,441.349478
38.75,479,450.940384
17.5,457,460.014873
36.0,491,467.740223
10.75,470,476.471171
20.75,468,483.27796
8.75,454,488.97356
2.0,451,494.426681
28.5,458,499.774391
25.0,497,505.727863
27.5,496,511.674563
28.0,488,517.459728
15.0,470,523.08175
4.5,473,528.509025
51.5,462,534.112078
24.5,485,539.768186
8.5,473,545.482311
12.25,454,550.846458
4.75,457,556.223025
44.5,500,562.220104
15.75,475,567.744244
28.5,495,573.60937
16.0,486,579.415263
43.5,498,585.37636
29.0,494,591.1264
17.5,466,596.678814
43.0,489,602.431171
23.75,484,608.135344
68.5,480,613.833702
17.75,486,619.591061
42.5,474,625.214649
25.5,491,631.019789
25.0,461,636.367667
26.25,469,641.946017
25.25,484,647.625909
29.0,456,653.024092
16.0,457,658.577662
6.5,456,664.045576
15.0,494,669.897894
48.5,495,675.765549
42.25,468,681.388927
20.0,477,686.991012
17.75,478,692.706872
24.25,494,698.46993
19.5,469,704.106189
11.25,453,709.452368
31.25,496,715.224159
22.0,461,720.782447
26.0,477,726.564667
16.75,451,731.91858
25.5,495,737.777571
23.5,459,743.43219
32.25,461,749.001005
9.0,456,754.390205
36.5,496,760.293071
25.5,472,765.895285
15.0,457,771.187356
35.25,490,777.05299
37.25,478,782.843318
23.5,499,788.721596
13.75,460,794.107155
47.5,451,799.58219
35.25,499,805.534014
59.25,491,811.316481
44.25,455,816.742715
18.5,494,822.71218
14.5,455,828.328101
27.25,499,834.328589
13.0,455,839.693913
27.0,481,845.383646
12.75,475,850.830544
28.0,455,856.205978
63.0,489,861.839151
6.0,463,867.485109
11.75,454,872.867531
