#{"t_start": 1541058403.7760694, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,497,7.344394
4.0,453,15.934684
0.0,456,22.66694
0.0,455,30.416391
0.0,495,37.211415
0.0,453,46.711697
1.25,486,57.306536
0.0,455,65.51168
0.0,481,75.511406
6.0,468,84.112697
0.0,461,91.462091
2.0,459,99.213308
3.0,500,108.661529
2.0,459,116.951411
0.0,480,124.455605
0.0,471,134.46519
0.0,478,144.995142
1.5,485,156.303504
3.5,486,166.540579
1.25,491,173.458841
8.25,481,179.942412
39.25,483,186.396996
15.25,453,193.508559
13.75,454,200.892626
10.5,492,210.01215
10.75,479,218.564282
43.25,456,226.54443
14.5,464,234.525505
29.0,476,241.914791
17.0,492,251.557813
30.5,460,260.311001
37.5,475,266.815228
24.25,494,273.949422
17.25,461,282.374725
35.0,452,290.978982
13.5,485,301.130746
63.25,488,308.570019
20.75,487,315.097223
13.5,476,323.873966
29.5,499,333.616728
25.5,488,343.352015
20.25,482,350.036047
21.0,495,359.427577
36.25,488,369.411609
21.0,490,378.961803
16.25,478,385.477104
15.25,498,395.136451
39.25,456,404.224024
12.25,475,413.994913
65.75,454,423.320585
32.5,454,431.65021
16.75,465,440.833267
25.25,474,450.328659
14.5,455,459.493738
33.25,493,466.707388
30.0,487,475.916903
24.25,496,483.472647
13.5,467,489.338051
12.0,463,495.026085
19.75,476,500.481219
21.0,474,506.097138
9.5,470,511.753918
37.5,501,517.820019
18.0,479,523.461525
38.75,475,528.971677
51.25,495,534.95556
14.5,491,540.716782
12.75,468,546.420623
60.25,476,552.046259
18.25,469,557.489169
12.5,451,562.835792
21.0,493,568.592983
15.5,480,574.306655
38.75,496,580.179346
9.0,455,585.566393
14.0,481,591.230765
37.25,497,597.076046
26.25,486,602.801418
15.0,469,608.354567
25.25,473,613.958138
35.0,452,619.305641
23.25,485,625.015985
13.5,471,630.440443
13.5,466,635.919662
15.5,466,641.522358
59.75,500,647.398808
13.25,472,653.015557
15.5,492,659.132463
37.0,486,664.910989
19.0,474,670.469074
18.75,471,676.086769
36.5,491,681.924283
23.0,494,687.755981
18.75,468,693.339379
14.25,472,698.835994
15.5,460,704.462245
33.75,499,710.250821
26.0,489,716.017539
14.5,454,721.554265
18.75,489,727.46327
31.0,468,732.901229
12.5,485,738.807466
17.5,477,744.647064
24.75,452,750.118927
44.5,497,755.976032
25.25,488,761.746723
16.75,480,767.346864
31.25,499,773.029969
43.75,465,778.822356
17.0,461,784.320724
26.75,482,789.934081
18.0,461,795.535467
14.25,482,801.211241
56.25,485,806.89938
52.25,461,812.439298
20.25,490,818.34251
20.0,492,824.242296
32.25,474,829.880965
7.25,460,835.578827
26.5,472,841.064056
17.5,480,846.833123
0.0,485,852.403619
19.25,453,857.781955
21.75,497,863.663494
62.5,482,869.384095
18.75,462,875.020526
41.0,501,880.92707
12.75,453,886.304366
6.0,452,891.791099
20.5,495,897.482497
32.0,481,903.140862
38.5,500,908.934158
42.5,473,914.483552
26.75,486,920.108601
32.75,499,925.990503
18.75,458,931.555846
8.0,475,937.279217
24.25,462,942.531037
19.0,475,948.162673
21.25,485,954.141722
18.25,481,959.826134
10.75,451,965.420414
16.25,468,970.948526
17.75,468,976.451215
15.5,480,982.068424
47.5,455,987.561155
34.5,497,993.353623
10.75,487,999.040715
16.75,468,1004.610741
31.5,483,1010.288991
41.0,476,1015.878882
11.5,460,1021.486468
20.0,451,1026.83669
57.5,469,1032.283248
27.75,495,1038.09022
35.5,480,1043.955506
13.0,468,1049.532212
37.5,499,1055.488236
15.0,460,1061.424337
62.5,464,1067.188842
8.75,460,1072.786791
5.25,472,1078.386608
20.25,474,1084.014714
23.75,485,1089.653252
32.25,492,1095.531203
38.75,485,1101.189277
11.75,471,1106.730842
33.25,498,1112.486524
12.5,488,1118.149916
18.5,485,1123.974331
11.5,474,1129.457424
19.5,453,1134.767032
53.5,498,1140.628422
14.0,474,1146.116194
34.5,492,1151.94636
22.0,453,1157.31772
23.75,472,1162.803811
11.25,476,1168.331673
10.0,464,1174.035868
38.75,498,1180.004623
35.75,491,1185.778469
36.0,481,1191.553673
36.25,497,1197.313784
34.75,496,1203.060206
35.75,489,1209.044039
14.75,465,1214.455871
62.5,498,1220.34505
45.5,467,1225.880228
24.0,478,1231.511364
34.75,478,1237.165539
27.25,457,1242.71547
10.75,466,1248.308645
13.25,475,1253.997377
66.75,471,1259.477216
60.5,490,1265.277786
27.25,487,1271.202562
29.5,496,1277.245977
7.75,458,1282.790508
20.5,494,1288.476215
25.5,466,1293.920014
8.75,472,1299.686243
9.5,454,1305.057054
13.75,473,1310.624592
21.0,492,1316.533834
11.0,480,1322.195438
38.0,457,1327.686684
27.0,471,1333.157873
30.5,498,1339.087072
21.5,487,1344.88811
47.5,501,1350.578408
21.0,484,1356.404305
62.75,476,1362.036198
36.25,492,1367.677318
19.75,467,1373.267344
12.25,479,1379.094124
3.5,454,1384.661098
15.5,471,1390.294505
15.25,486,1396.077486
37.0,484,1401.675339
22.75,491,1407.414719
18.75,461,1413.134596
46.25,501,1419.113143
11.0,488,1424.777651
23.5,455,1430.153655
25.0,495,1436.080729
40.75,451,1441.626427
19.0,488,1447.373097
22.5,496,1453.148015
42.0,462,1458.694129
44.25,499,1464.701102
21.5,458,1470.256898
9.5,453,1475.501515
14.5,472,1481.206308
27.75,481,1486.856031
49.5,495,1492.692138
17.75,491,1498.503083
52.75,463,1503.97035
13.25,458,1509.475895
5.0,454,1514.869664
33.0,496,1520.824745
31.75,462,1526.339777
27.25,460,1532.013464
67.75,457,1537.42738
19.5,482,1543.035214
70.0,470,1548.559577
20.5,461,1553.941026
27.25,494,1559.649384
18.5,488,1565.312099
44.25,501,1571.047001
43.5,456,1576.409292
19.25,482,1582.325868
43.75,501,1588.430638
17.0,472,1594.174855
10.75,473,1599.842711
16.5,457,1605.345544
14.25,457,1610.838178
64.0,467,1616.226444
44.5,500,1622.058556
7.0,459,1627.477014
57.5,452,1632.956319
12.25,454,1638.513362
22.5,485,1644.262635
19.25,472,1650.017658
55.0,495,1655.787366
27.25,493,1661.541573
26.75,477,1667.271574
13.25,484,1672.819425
5.75,467,1678.313263
61.5,489,1683.895536
28.25,493,1689.809716
31.25,499,1695.642218
43.0,498,1701.517411
9.25,481,1707.156201
18.0,462,1712.794189
6.5,459,1718.231027
22.5,452,1723.50985
70.75,478,1729.261083
9.5,471,1734.50026
11.75,455,1740.146567
21.5,488,1745.995438
13.5,475,1751.573404
16.25,456,1756.96382
40.0,468,1762.695176
17.25,460,1768.223598
41.0,501,1774.168343
19.25,471,1779.857778
11.0,457,1785.31075
30.75,491,1791.088156
58.25,482,1796.752093
28.0,495,1802.816136
52.5,472,1808.452894
8.75,473,1814.094052
23.75,463,1819.666538
26.25,470,1825.209575
40.5,501,1831.234729
30.0,486,1837.086831
41.5,483,1842.819603
19.75,486,1848.380711
17.0,455,1853.946162
16.25,451,1859.298024
38.5,481,1865.122198
12.5,469,1870.833444
14.25,488,1876.555594
9.0,471,1882.165958
35.5,473,1887.870431
22.25,465,1893.533138
22.25,464,1899.032834
46.0,484,1904.884206
55.75,495,1910.700857
40.5,489,1916.618507
51.0,475,1922.382021
19.0,457,1927.896039
20.5,463,1933.514278
25.75,461,1939.074358
41.75,501,1944.914584
64.0,480,1950.555959
12.0,460,1956.206665
17.0,455,1961.413723
35.25,498,1967.243219
27.5,451,1972.716538
18.75,459,1978.126246
29.75,491,1984.096487
36.75,477,1989.872979
34.75,479,1995.616776
36.5,501,2001.419459
39.25,488,2007.308689
45.75,493,2013.101546
29.5,462,2018.584903
54.5,463,2024.026696
31.5,495,2029.834291
42.5,451,2035.039198
16.75,478,2040.774542
17.75,487,2046.348414
45.25,461,2051.945107
19.5,476,2057.615044
12.25,451,2063.091164
23.5,455,2068.239991
29.0,494,2074.177016
32.5,484,2079.98876
25.0,498,2085.824047
5.0,460,2091.117995
27.0,462,2096.570891
14.0,483,2102.494983
34.25,473,2108.194747
10.0,460,2113.659513
26.25,454,2119.0488
29.5,497,2124.965123
34.0,487,2130.880529
41.25,457,2136.342593
33.75,488,2142.04122
17.5,451,2147.419953
10.0,454,2153.006023
31.75,486,2158.613772
22.25,476,2164.366059
47.75,460,2169.760776
18.5,478,2175.431223
8.5,459,2181.072733
13.5,460,2186.654899
25.25,460,2192.032074
32.75,478,2197.720496
15.5,475,2203.441192
32.0,488,2209.282155
36.25,469,2214.661622
21.5,470,2220.161491
39.25,492,2226.06877
33.75,495,2231.965978
13.0,459,2237.377908
53.5,469,2242.995775
33.5,493,2248.830486
17.75,453,2254.469413
17.0,467,2259.916255
28.5,491,2265.815492
17.0,464,2271.535728
32.5,494,2277.398436
16.25,460,2282.604286
4.0,500,2288.570461
37.0,466,2294.071564
32.75,461,2299.772589
21.25,452,2305.237146
18.75,476,2310.911035
52.25,498,2316.913452
48.5,483,2322.673978
26.0,482,2328.329169
24.5,466,2333.965733
17.5,460,2339.697698
38.25,457,2344.90559
49.25,466,2350.433646
30.5,498,2356.141709
21.5,484,2361.966491
23.75,489,2367.868358
34.5,491,2373.81381
14.25,479,2379.57039
33.0,479,2385.308438
9.0,457,2390.785971
29.25,455,2396.463684
26.5,487,2402.331322
25.25,482,2407.909455
20.25,478,2413.802029
37.75,498,2419.811001
24.75,487,2425.709419
27.0,458,2431.196616
22.5,475,2436.968598
22.5,467,2442.627969
36.25,495,2448.403059
34.25,490,2454.442557
43.75,490,2460.352488
10.5,451,2465.591667
0.0,467,2471.242931
16.25,480,2476.881418
29.75,454,2482.265932
29.0,484,2487.951271
26.75,472,2493.727145
38.0,495,2499.603528
28.5,456,2505.111115
22.75,476,2510.676659
21.75,481,2516.48762
23.5,491,2522.36327
28.5,491,2528.117608
32.75,487,2534.023124
26.0,479,2539.869092
21.25,492,2545.678736
14.0,474,2551.341533
16.0,463,2556.840316
62.25,489,2562.902889
30.25,494,2568.876671
45.0,486,2574.593393
25.0,473,2580.115657
23.0,458,2585.829826
34.75,469,2591.560503
98.5,487,2597.323493
41.75,483,2603.118015
52.0,501,2608.99598
114.75,478,2614.737139
83.0,493,2620.675637
30.25,467,2626.374374
39.75,489,2632.091285
87.25,457,2637.64274
13.0,461,2643.282755
101.25,486,2649.201917
76.5,482,2654.819693
97.0,491,2660.488349
83.5,476,2666.18094
93.0,469,2671.762693
10.0,464,2677.256219
127.0,495,2683.339553
30.0,458,2688.772384
65.75,453,2694.335199
44.75,468,2699.997917
122.25,497,2705.905833
93.5,488,2711.700641
82.25,471,2717.358152
30.0,473,2723.096347
107.75,495,2728.735591
84.25,478,2734.591848
125.0,501,2740.525496
128.25,487,2746.330704
100.75,498,2752.212671
65.25,458,2757.732532
20.0,483,2763.765502
139.0,496,2769.882193
148.5,492,2775.864081
77.75,493,2781.90803
52.75,454,2787.394589
64.25,475,2793.047265
73.5,455,2798.418272
138.0,497,2804.382024
103.0,476,2810.000975
94.0,456,2815.307805
94.25,483,2821.105314
51.0,478,2826.908379
47.75,474,2832.626796
62.75,479,2838.386487
151.0,493,2844.30996
177.0,498,2850.239203
50.75,451,2855.699092
80.5,455,2861.033348
32.25,455,2866.738125
12.0,454,2872.233857
126.25,495,2878.05383
113.0,485,2883.787694
20.25,472,2889.42208
20.5,475,2895.076267
60.5,456,2900.53623
70.0,460,2905.920796
85.0,482,2911.505508
62.0,493,2917.515222
54.0,455,2922.988918
15.0,470,2928.735562
14.5,463,2934.191864
16.0,465,2939.735828
46.0,461,2945.48052
77.5,485,2951.104119
17.25,466,2956.688784
31.25,459,2962.139261
86.0,467,2967.835855
123.75,485,2973.6121
155.0,501,2979.691884
95.75,500,2985.626625
41.5,462,2991.375497
121.0,487,2997.180391
149.5,501,3003.134081
123.75,484,3008.919419
36.5,455,3014.355504
140.0,456,3019.706311
123.75,464,3025.248191
21.25,479,3031.012606
43.75,458,3036.493172
64.75,489,3042.428461
102.75,460,3047.878886
45.0,471,3053.564041
108.75,468,3059.197392
75.5,464,3064.766577
46.0,464,3070.398617
22.0,474,3076.033363
43.5,478,3081.711256
59.75,469,3087.288557
14.5,487,3093.262677
74.75,493,3099.272608
83.25,476,3104.753195
20.0,481,3110.517292
39.75,474,3116.218007
66.0,482,3122.14314
26.0,484,3127.708632
86.0,484,3133.682491
24.0,463,3139.128209
64.0,483,3144.875834
31.5,477,3150.622954
34.0,491,3156.521674
38.5,486,3162.312077
90.0,476,3167.84253
74.0,474,3173.560894
56.0,455,3179.125668
87.0,467,3184.799749
110.0,488,3190.76166
26.75,472,3196.393883
42.0,457,3201.889975
101.5,456,3207.216818
112.0,480,3212.981536
88.0,485,3218.90273
94.0,481,3224.558639
83.5,486,3230.271501
39.5,485,3236.160818
80.0,451,3241.343828
72.0,481,3247.046456
64.0,481,3252.712075
9.5,457,3258.230405
108.0,492,3264.120427
53.0,463,3269.724442
132.75,498,3275.750157
94.0,498,3281.704157
10.75,459,3287.196443
150.0,501,3293.226121
113.75,479,3299.175855
99.25,492,3305.109964
26.0,452,3310.688973
22.0,469,3316.35065
104.75,491,3322.133528
142.75,491,3327.926502
61.25,484,3333.648893
82.0,490,3339.477901
47.25,492,3345.400111
77.0,461,3350.891421
103.0,457,3356.422319
85.25,462,3361.983093
166.0,486,3367.86577
