#{"t_start": 1541275480.241692, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,1501,33.186233
0.0,1501,65.275944
0.0,1501,97.427644
0.0,1501,129.794346
0.0,1501,161.876078
0.0,1501,194.864284
0.25,1501,227.085983
22.0,1501,259.584524
30.0,1501,293.185222
31.5,1501,326.66817
30.5,1501,359.893396
31.0,1501,392.929926
31.0,1501,426.077436
38.0,1501,459.52439
26.25,1501,492.688419
38.25,1501,525.833736
30.75,1501,559.105397
37.75,1501,592.308393
35.0,1501,625.527716
28.25,1501,658.757761
36.0,1501,691.92818
33.75,1501,725.155297
25.25,1501,758.356213
36.5,1501,791.548405
30.0,1501,824.404492
38.5,1501,857.695101
36.5,1501,891.060853
37.25,1501,924.180733
38.0,1501,957.3764
35.0,1501,990.485783
32.25,1501,1023.63781
38.0,1501,1056.692116
37.75,1501,1089.720238
31.75,1501,1122.852522
37.5,1501,1155.990452
35.0,1501,1189.108738
39.25,1501,1222.245116
41.5,1501,1255.384255
34.5,1501,1288.505614
31.25,1501,1321.622837
39.75,1501,1354.746386
32.5,1501,1387.929698
38.0,1501,1421.070938
36.5,1501,1454.202164
32.5,1501,1487.324491
36.0,1501,1520.452826
36.0,1501,1553.533288
35.25,1501,1586.675407
38.0,1501,1619.856857
37.25,1501,1653.004244
37.0,1501,1686.128039
33.0,1501,1719.238118
39.0,1501,1752.702104
42.5,1501,1785.806959
32.5,1501,1818.984294
39.75,1501,1852.32615
38.75,1501,1885.468814
45.5,1501,1918.658545
36.5,1501,1951.902481
39.25,1501,1985.288416
44.75,1501,2018.585662
45.25,1501,2051.743933
38.75,1501,2084.957562
31.25,1501,2118.215864
45.75,1501,2151.443345
39.0,1501,2184.731279
41.25,1501,2217.982182
38.25,1501,2251.290111
35.5,1501,2284.504053
45.0,1501,2317.747583
37.25,1501,2351.104072
43.0,1501,2384.394056
39.0,1501,2417.617343
44.5,1501,2450.882995
55.75,1501,2484.344364
44.75,1501,2517.719128
