#{"t_start": 1541275480.1807714, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,1501,33.239026
0.0,1501,65.328051
0.0,1501,97.480593
0.0,1501,129.845196
0.0,1501,161.928697
0.0,1501,194.915615
0.0,1501,227.132812
17.0,1501,259.636254
26.25,1501,293.234465
30.0,1501,326.716769
33.5,1501,359.945457
31.25,1501,392.990754
24.75,1501,426.129801
30.5,1501,459.57667
31.0,1501,492.740712
31.5,1501,525.90221
34.75,1501,559.158194
37.0,1501,592.360217
35.25,1501,625.580166
27.5,1501,658.810276
35.0,1501,691.988285
36.75,1501,725.207499
44.75,1501,758.408217
34.0,1501,791.596791
28.0,1501,824.456833
42.25,1501,857.747085
37.0,1501,891.121514
32.0,1501,924.23042
37.25,1501,957.428569
35.75,1501,990.537898
36.5,1501,1023.689994
31.25,1501,1056.742125
36.25,1501,1089.767626
40.5,1501,1122.904928
38.0,1501,1156.04228
42.5,1501,1189.159654
35.0,1501,1222.305905
33.5,1501,1255.434475
31.5,1501,1288.557754
36.0,1501,1321.674928
37.75,1501,1354.799156
40.5,1501,1387.990427
39.0,1501,1421.122627
39.75,1501,1454.253322
32.0,1501,1487.376657
39.25,1501,1520.505322
28.25,1501,1553.585419
39.25,1501,1586.725064
38.0,1501,1619.909126
40.25,1501,1653.056341
38.5,1501,1686.17839
38.75,1501,1719.289912
35.0,1501,1752.75396
36.75,1501,1785.859102
37.5,1501,1819.035845
28.25,1501,1852.378703
40.75,1501,1885.519156
45.0,1501,1918.710737
38.5,1501,1951.954698
39.25,1501,1985.340793
41.5,1501,2018.637922
43.25,1501,2051.796492
45.25,1501,2085.016444
43.75,1501,2118.268092
42.5,1501,2151.495893
40.0,1501,2184.783297
41.75,1501,2218.033964
38.5,1501,2251.342404
41.5,1501,2284.556409
41.0,1501,2317.799586
35.25,1501,2351.15648
42.75,1501,2384.441176
43.5,1501,2417.669865
49.75,1501,2450.935191
48.25,1501,2484.392629
46.5,1501,2517.771261
38.25,1501,2551.102099
43.25,1501,2584.509094
48.0,1501,2617.719625
42.25,1501,2651.000967
45.75,1501,2684.234191
44.0,1501,2717.505573
39.25,1501,2750.877002
48.0,1501,2783.997666
48.0,1501,2817.062064
27.25,1501,2849.68238
45.75,1501,2882.704751
52.25,1501,2915.81257
44.75,1501,2949.106267
45.0,1501,2982.483958
42.25,1501,3015.928386
40.75,1501,3049.066399
39.25,1501,3082.097039
46.75,1501,3115.254569
45.5,1501,3148.296737
45.0,1501,3181.553416
42.75,1501,3214.754606
43.5,1501,3247.953634
32.25,1501,3280.953985
35.75,1501,3313.849127
42.0,1501,3347.183553
46.25,1501,3380.453297
40.5,1501,3413.358493
40.5,1501,3446.352663
46.25,1501,3479.331863
37.0,1501,3512.476274
41.5,1501,3545.64644
44.25,1501,3578.804959
39.0,1501,3611.909776
42.0,1501,3645.138303
38.75,1501,3678.510468
43.5,1501,3711.610807
34.25,1501,3744.951308
47.25,1501,3778.222435
46.5,1501,3811.590081
36.25,1501,3844.950086
42.5,1501,3878.165123
37.75,1501,3911.346886
34.5,1501,3944.56772
42.5,1501,3977.68916
47.75,1501,4011.073256
48.75,1501,4044.489326
39.25,1501,4077.718189
41.75,1501,4110.702109
43.0,1501,4143.788911
36.75,1501,4176.889401
39.25,1501,4209.905518
41.75,1501,4243.100637
46.0,1501,4276.452848
40.0,1501,4309.8209
35.75,1501,4343.152038
43.75,1501,4376.505836
44.25,1501,4409.783116
53.25,1501,4442.995988
42.25,1501,4476.249274
34.5,1501,4509.321738
41.75,1501,4542.444081
