#{"t_start": 1541275480.1678605, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,1501,33.251791
0.0,1501,65.341136
0.0,1501,97.493352
0.0,1501,129.858112
0.0,1501,161.941544
1.25,1501,194.928487
0.0,1501,227.145134
11.0,1501,259.648851
37.25,1501,293.247523
25.0,1501,326.729708
29.5,1501,359.958518
32.0,1501,393.00112
34.25,1501,426.142676
31.25,1501,459.589379
37.25,1501,492.753648
32.25,1501,525.907198
31.75,1501,559.171104
30.0,1501,592.373004
35.5,1501,625.59302
31.25,1501,658.823183
35.0,1501,692.001171
36.0,1501,725.22041
31.0,1501,758.421227
30.5,1501,791.609637
37.5,1501,824.469622
38.5,1501,857.759881
28.25,1501,891.125883
34.5,1501,924.243169
33.25,1501,957.441489
32.0,1501,990.550794
31.75,1501,1023.702803
35.5,1501,1056.755075
30.25,1501,1089.780389
37.0,1501,1122.926354
40.25,1501,1156.055012
38.0,1501,1189.172697
40.5,1501,1222.310364
37.25,1501,1255.447416
37.5,1501,1288.570687
37.75,1501,1321.688027
38.25,1501,1354.812137
35.75,1501,1388.003234
36.5,1501,1421.13559
37.25,1501,1454.266159
37.25,1501,1487.389657
31.5,1501,1520.518225
36.5,1501,1553.598237
36.75,1501,1586.737962
30.25,1501,1619.922006
34.25,1501,1653.069399
32.0,1501,1686.191389
39.0,1501,1719.302949
33.75,1501,1752.766892
39.5,1501,1785.872126
32.25,1501,1819.048834
31.5,1501,1852.39148
44.25,1501,1885.532038
42.5,1501,1918.72376
39.0,1501,1951.967591
38.75,1501,1985.353729
43.25,1501,2018.650988
33.75,1501,2051.809165
44.0,1501,2085.029375
47.5,1501,2118.280933
41.5,1501,2151.508715
40.0,1501,2184.796298
35.5,1501,2218.0468
38.5,1501,2251.355227
35.0,1501,2284.569232
42.25,1501,2317.812612
37.5,1501,2351.169346
40.5,1501,2384.454232
41.75,1501,2417.682658
41.75,1501,2450.947948
46.25,1501,2484.405434
40.0,1501,2517.784264
47.0,1501,2551.115016
46.25,1501,2584.521804
42.0,1501,2617.732446
43.5,1501,2651.013898
40.75,1501,2684.247099
46.0,1501,2717.518616
47.5,1501,2750.890055
52.5,1501,2784.004084
49.75,1501,2817.074982
32.0,1501,2849.695366
51.25,1501,2882.7176
48.5,1501,2915.825448
48.75,1501,2949.119373
39.5,1501,2982.497028
43.5,1501,3015.941154
46.5,1501,3049.079301
48.0,1501,3082.11005
46.5,1501,3115.267426
41.5,1501,3148.309706
30.5,1501,3181.566271
34.5,1501,3214.767517
36.75,1501,3247.966717
48.0,1501,3280.966901
38.5,1501,3313.862097
47.0,1501,3347.196509
42.75,1501,3380.466136
38.75,1501,3413.371396
39.5,1501,3446.36548
39.75,1501,3479.344784
47.25,1501,3512.489265
44.5,1501,3545.659379
32.75,1501,3578.817816
45.0,1501,3611.922612
44.25,1501,3645.151128
41.75,1501,3678.523467
44.75,1501,3711.623745
