#{"t_start": 1541113706.2198994, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,6.539393
0.0,501,11.764405
0.0,501,16.962233
0.0,501,22.232137
0.0,501,27.618544
0.0,501,32.998023
0.0,501,38.323915
0.0,501,43.559532
0.0,501,48.751808
0.0,501,54.034599
0.0,501,59.266168
0.0,501,64.494241
0.0,501,69.689857
0.0,501,74.948213
0.0,501,80.197656
0.0,501,85.455999
0.0,501,90.69336
0.0,501,95.941758
0.0,501,101.212005
0.0,501,106.46193
0.0,501,111.740397
4.0,501,116.99568
0.0,501,122.264976
0.0,501,127.512079
0.0,501,132.837123
0.0,501,138.160787
0.0,501,143.406107
0.0,501,148.643729
4.0,501,153.915108
22.75,501,159.279078
0.0,501,164.657282
33.25,501,169.995367
19.0,501,175.375666
30.75,501,180.750272
32.25,501,186.106919
31.25,501,191.490366
38.25,501,196.862511
26.5,501,202.254528
34.25,501,207.618896
27.25,501,213.107607
33.0,501,218.597906
37.25,501,224.132492
36.75,501,229.832165
34.0,501,235.225377
36.0,501,240.989341
40.0,501,246.992076
30.5,501,254.312205
35.25,501,260.82526
37.5,501,267.398057
40.75,501,273.989487
35.25,501,280.672322
34.75,501,287.459025
33.25,501,294.226351
34.75,501,300.788908
31.25,501,307.217701
35.25,501,312.839794
39.25,501,318.325003
38.5,501,324.835806
42.5,501,331.710628
29.5,501,337.855926
40.5,501,344.037686
38.5,501,350.154853
38.25,501,356.239763
34.75,501,362.070117
36.5,501,367.52737
35.75,501,372.960379
31.75,501,378.398721
35.5,501,383.792546
33.25,501,389.187226
34.75,501,394.601534
38.5,501,399.993392
36.5,501,405.360436
39.0,501,410.728403
36.25,501,416.104445
33.25,501,421.525377
18.75,501,426.964218
43.0,501,432.354609
37.75,501,437.739236
38.5,501,443.108404
36.5,501,448.496098
36.25,501,453.920111
37.0,501,459.327713
28.75,501,464.72075
32.0,501,470.092845
30.0,501,475.526793
42.75,501,480.965389
36.25,501,486.345244
37.25,501,491.751889
39.75,501,497.158709
52.0,501,502.617124
38.75,501,508.224304
49.75,501,513.839624
48.25,501,519.388588
44.75,501,525.000178
46.75,501,530.582494
52.25,501,536.192349
44.25,501,541.637862
44.0,501,547.041479
43.25,501,552.479511
43.75,501,557.900488
21.25,501,563.344856
41.0,501,568.799677
41.25,501,574.298
51.0,501,579.735958
43.5,501,585.13101
40.75,501,590.541032
40.5,501,595.940694
43.25,501,601.407704
56.25,501,606.980234
73.25,501,612.967341
51.25,501,618.574604
45.5,501,624.002404
37.75,501,629.367286
40.5,501,634.711194
39.75,501,640.060549
41.5,501,645.452687
44.25,501,650.821529
46.5,501,656.196832
52.75,501,661.657417
45.25,501,667.105839
48.25,501,672.514291
45.25,501,677.875021
46.75,501,683.336167
40.5,501,688.746021
44.25,501,694.116191
47.25,501,699.452048
41.75,501,704.791036
41.75,501,710.136274
41.0,501,715.503023
36.0,501,720.845332
41.0,501,726.202086
33.0,501,731.675286
22.75,501,737.200746
38.5,501,742.708002
41.25,501,748.089924
50.5,501,753.593189
38.0,501,759.007463
34.5,501,764.442954
52.75,501,769.894034
45.5,501,775.302839
30.25,501,780.753252
34.25,501,786.19469
39.5,501,791.643676
33.75,501,797.076615
42.0,501,802.524129
36.25,501,807.965672
42.5,501,813.343272
34.5,501,818.748931
44.25,501,824.124376
40.5,501,829.485066
41.0,501,834.925303
40.75,501,840.382306
38.25,501,845.841065
38.0,501,851.289255
49.0,501,856.708463
41.75,501,862.194376
36.75,501,867.69171
40.75,501,873.474529
41.25,501,879.066915
43.0,501,884.762851
44.5,501,890.159155
39.5,501,895.648314
44.0,501,901.156997
38.0,501,906.641093
38.75,501,912.041431
42.75,501,917.46355
44.25,501,922.882686
39.0,501,928.236797
43.0,501,933.627391
37.75,501,938.980433
34.75,501,944.337294
41.5,501,949.698658
41.0,501,955.176991
43.0,501,960.649275
43.0,501,966.072574
42.75,501,971.473873
29.5,501,976.86807
46.5,501,982.257418
44.75,501,987.672111
44.5,501,993.065672
44.5,501,998.529804
58.75,501,1003.987644
45.0,501,1009.464345
42.5,501,1014.96995
40.75,501,1020.34825
45.0,501,1025.732323
40.0,501,1031.079872
38.5,501,1036.42364
37.5,501,1041.76918
39.75,501,1047.119747
44.75,501,1052.565201
38.0,501,1057.947175
49.0,501,1063.341704
37.25,501,1068.739154
40.75,501,1074.133279
42.25,501,1079.598125
39.25,501,1085.056065
31.25,501,1090.544993
40.5,501,1096.025956
44.5,501,1101.511348
44.0,501,1107.157529
40.25,501,1112.654994
45.25,501,1118.296633
41.5,501,1123.792938
38.5,501,1129.324713
38.0,501,1135.007634
35.5,501,1140.462497
33.5,501,1145.97775
36.75,501,1151.338453
51.0,501,1156.901645
38.25,501,1162.598749
44.5,501,1168.352527
38.0,501,1173.942063
42.75,501,1179.677265
41.25,501,1185.419903
38.0,501,1190.769997
42.5,501,1196.134532
44.75,501,1201.492193
37.25,501,1206.869733
43.25,501,1212.297178
48.25,501,1217.768889
44.0,501,1223.205693
44.0,501,1228.702083
41.0,501,1234.134929
37.0,501,1239.57146
40.25,501,1245.1364
36.5,501,1250.643249
38.75,501,1256.14036
41.75,501,1261.612919
43.5,501,1266.988712
37.75,501,1272.517255
40.75,501,1277.974104
36.0,501,1283.387812
40.25,501,1288.866891
39.0,501,1294.2942
42.0,501,1299.764705
39.25,501,1305.161697
40.5,501,1310.579066
36.75,501,1316.094299
37.5,501,1321.517408
45.0,501,1326.972617
39.25,501,1332.394937
37.5,501,1337.850679
40.25,501,1343.221972
38.25,501,1348.620884
48.0,501,1354.006203
37.75,501,1359.37144
40.25,501,1364.73321
40.25,501,1370.130695
41.25,501,1375.554837
38.75,501,1380.959562
41.5,501,1386.368465
42.75,501,1391.874825
44.25,501,1397.44373
44.5,501,1402.802958
39.5,501,1408.203806
40.25,501,1413.597942
42.0,501,1418.989901
37.0,501,1424.414831
39.25,501,1429.822177
21.75,501,1435.294264
68.0,501,1440.715025
58.75,501,1446.196477
36.25,501,1451.592854
36.5,501,1457.041525
62.75,501,1462.49476
35.5,501,1468.023895
41.75,501,1473.471026
55.25,501,1478.856674
38.0,501,1484.390677
41.75,501,1490.010962
38.25,501,1495.56633
39.0,501,1500.978094
43.5,501,1506.376261
34.5,501,1511.774588
40.0,501,1517.190941
40.5,501,1522.568718
38.75,501,1528.013717
41.0,501,1533.441044
34.0,501,1538.871518
47.25,501,1544.296787
48.25,501,1549.659806
35.75,501,1555.049486
43.0,501,1560.44381
42.25,501,1565.90442
46.75,501,1571.36596
41.25,501,1577.193187
44.25,501,1583.156762
43.25,501,1589.163465
44.0,501,1595.144835
44.75,501,1600.698357
