#{"t_start": 1541259964.3091016, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,7.185591
0.0,501,13.463069
0.0,501,19.833329
0.0,501,26.128489
0.0,501,32.315645
0.0,501,38.474861
0.0,501,44.654432
0.0,501,50.764783
0.0,501,56.88874
0.0,501,63.081505
8.0,501,69.322446
8.5,501,75.590344
13.0,501,81.796073
36.75,501,88.062681
16.0,501,94.285227
51.75,501,100.575968
53.75,501,106.822992
55.5,501,113.109724
75.75,501,119.414376
77.75,501,125.730553
36.0,501,132.220867
31.5,501,138.675289
26.5,501,145.107999
32.75,501,151.530131
20.5,501,157.966469
33.75,501,164.40019
31.0,501,170.79576
42.25,501,177.198172
31.75,501,183.645449
38.75,501,190.045208
40.25,501,196.665903
36.0,501,203.140407
28.25,501,209.563733
34.5,501,216.009177
38.5,501,222.578789
38.75,501,229.163826
37.0,501,235.714147
34.75,501,242.17513
37.25,501,248.661297
33.75,501,255.028145
43.0,501,261.451103
31.75,501,267.950814
39.75,501,274.664905
35.25,501,281.039164
30.25,501,287.784222
25.25,501,295.384074
26.75,501,302.791829
37.25,501,310.301285
32.75,501,317.642126
36.25,501,324.977151
42.0,501,332.369542
35.5,501,339.798369
34.75,501,347.173231
37.0,501,354.562122
29.25,501,361.649619
36.5,501,368.163853
36.5,501,374.564777
37.25,501,380.915875
34.0,501,387.273377
29.5,501,393.625696
31.25,501,399.997157
33.25,501,406.346633
34.25,501,412.707657
41.25,501,419.067604
38.5,501,425.408005
35.5,501,431.797162
35.0,501,438.146578
37.75,501,444.509071
35.0,501,450.872683
36.25,501,457.23323
43.0,501,463.611605
33.5,501,469.962523
37.25,501,476.32836
30.25,501,482.698136
38.5,501,489.063003
41.0,501,495.452461
39.25,501,501.828389
33.5,501,508.182773
40.75,501,514.552514
34.25,501,520.91885
35.25,501,527.299993
35.0,501,533.65853
31.0,501,540.023752
37.25,501,546.389295
35.0,501,552.77108
32.25,501,559.169729
39.75,501,565.521813
42.25,501,571.887552
43.75,501,578.264931
36.75,501,584.638148
36.75,501,591.023937
34.75,501,597.383403
37.25,501,603.740448
36.25,501,610.115096
32.0,501,616.480945
27.25,501,622.87987
34.5,501,629.244305
36.5,501,635.627735
33.5,501,642.002286
39.5,501,648.376018
28.75,501,654.763655
34.75,501,661.125454
30.5,501,667.484998
35.0,501,674.021142
39.0,501,680.538643
36.25,501,686.916105
39.0,501,693.275007
34.25,501,699.652291
34.75,501,706.016342
36.25,501,712.376115
38.5,501,718.728502
35.5,501,725.064397
41.25,501,731.433238
36.75,501,737.771351
39.75,501,744.135062
34.25,501,750.512648
42.0,501,756.851031
33.75,501,763.204983
40.0,501,769.780563
37.0,501,776.163251
40.25,501,782.562228
38.5,501,788.935325
36.0,501,795.292967
34.0,501,801.656798
41.5,501,808.030723
30.0,501,814.425337
32.75,501,820.80328
30.0,501,827.178192
35.25,501,833.575603
36.75,501,839.943584
34.5,501,846.343917
43.5,501,852.721499
35.5,501,859.094796
38.5,501,865.473345
36.75,501,871.845546
39.0,501,878.241185
46.75,501,884.633831
44.0,501,891.015891
41.5,501,897.401226
39.5,501,903.809914
48.0,501,910.219811
42.75,501,916.598059
41.5,501,922.981322
49.0,501,929.353014
45.0,501,935.734769
45.5,501,942.135775
43.5,501,948.528515
34.0,501,954.937595
40.75,501,961.315643
46.0,501,967.66995
36.0,501,974.0878
39.75,501,980.472631
37.5,501,986.884012
36.25,501,993.266786
36.75,501,999.646967
34.75,501,1006.066248
45.25,501,1012.442385
40.75,501,1018.824771
41.25,501,1025.203728
37.5,501,1031.583344
36.75,501,1037.964053
36.0,501,1044.346341
37.0,501,1050.760892
40.75,501,1057.147778
42.0,501,1063.599451
39.5,501,1070.280364
39.0,501,1077.822235
38.25,501,1085.242167
39.75,501,1092.075501
41.75,501,1098.442134
38.25,501,1104.84076
46.0,501,1111.210621
50.0,501,1117.608042
47.0,501,1124.041603
40.75,501,1130.463219
47.0,501,1136.881363
51.0,501,1143.268198
45.5,501,1149.637294
44.25,501,1155.989815
37.0,501,1162.354483
45.25,501,1168.758731
38.25,501,1175.122383
37.0,501,1181.495417
43.25,501,1187.989006
37.25,501,1194.366931
44.5,501,1200.774512
31.75,501,1207.164821
38.0,501,1213.550204
41.0,501,1219.943236
43.0,501,1226.316979
44.5,501,1232.708262
47.0,501,1239.080012
33.75,501,1245.457168
51.25,501,1251.827367
37.25,501,1258.24052
38.5,501,1264.650248
36.0,501,1271.02534
34.5,501,1277.392596
38.0,501,1283.785687
41.25,501,1290.168004
46.25,501,1296.566375
41.0,501,1302.919528
38.0,501,1309.274309
37.0,501,1315.647575
40.75,501,1322.00366
40.75,501,1328.396508
42.25,501,1334.761065
48.75,501,1341.136616
37.75,501,1347.518895
42.0,501,1353.898154
38.25,501,1360.277171
46.5,501,1366.654457
33.5,501,1373.054711
40.0,501,1379.430231
38.75,501,1385.779269
39.5,501,1392.150631
45.75,501,1398.79453
41.0,501,1405.265874
36.75,501,1411.618344
33.75,501,1417.970165
42.25,501,1424.353509
43.5,501,1430.7265
44.5,501,1437.112231
42.75,501,1443.508407
34.0,501,1449.87256
39.5,501,1456.228299
41.0,501,1462.597871
41.75,501,1468.979686
46.5,501,1475.357568
42.0,501,1481.735431
42.25,501,1488.155037
31.0,501,1494.532853
44.75,501,1500.916763
43.75,501,1507.305959
38.25,501,1513.647316
40.25,501,1520.02807
44.25,501,1526.369739
37.25,501,1532.717647
49.75,501,1539.088212
49.25,501,1545.465092
38.5,501,1551.859539
40.25,501,1558.225917
36.0,501,1564.610209
45.25,501,1570.985518
46.5,501,1577.370718
44.25,501,1583.771094
48.25,501,1590.126252
4.5,501,1596.493593
50.25,501,1602.862088
40.25,501,1609.266072
36.5,501,1615.666851
42.5,501,1622.049377
44.75,501,1628.419302
38.5,501,1634.804495
39.75,501,1641.168628
38.5,501,1647.545208
49.25,501,1653.916879
39.75,501,1660.266483
42.75,501,1666.639669
46.75,501,1673.004311
47.0,501,1679.437707
49.75,501,1685.819279
40.0,501,1692.233481
33.25,501,1698.712682
38.75,501,1705.136494
47.75,501,1711.62511
50.5,501,1718.21997
42.5,501,1724.747626
39.5,501,1731.160069
48.25,501,1737.565502
43.25,501,1744.017419
39.25,501,1750.427364
47.5,501,1756.843023
31.75,501,1763.258767
5.0,501,1769.66132
42.75,501,1776.305797
41.75,501,1782.842817
43.25,501,1789.608438
38.75,501,1796.109751
43.75,501,1802.554164
34.25,501,1809.055043
43.0,501,1815.776691
47.75,501,1822.285648
41.0,501,1828.698855
49.5,501,1835.196114
48.0,501,1841.649462
50.0,501,1848.047421
48.25,501,1854.448448
38.5,501,1860.839794
46.25,501,1867.228479
43.75,501,1873.704215
50.0,501,1880.120971
43.5,501,1886.726479
48.5,501,1893.199637
42.5,501,1899.627448
45.75,501,1906.070441
41.0,501,1912.460063
42.5,501,1918.864274
41.5,501,1925.262297
50.25,501,1931.648479
44.25,501,1938.197287
45.25,501,1944.762576
44.75,501,1951.170729
51.25,501,1957.606721
47.5,501,1963.996636
45.75,501,1970.430218
48.0,501,1976.844764
44.0,501,1983.244371
41.25,501,1989.765862
49.75,501,1996.458397
44.75,501,2002.920182
46.75,501,2009.34351
45.5,501,2015.754898
48.75,501,2022.292583
44.25,501,2028.748331
51.25,501,2035.146408
51.5,501,2041.529099
51.25,501,2047.903323
42.75,501,2054.273337
38.5,501,2060.62934
37.25,501,2067.088558
41.0,501,2073.504244
47.25,501,2079.888061
47.0,501,2086.333728
48.75,501,2092.759343
44.75,501,2099.183397
45.0,501,2105.621215
53.5,501,2112.00655
42.25,501,2118.519665
45.5,501,2124.904814
32.25,501,2131.310035
26.75,501,2137.686336
53.5,501,2144.075883
44.25,501,2150.459766
46.0,501,2156.870748
46.0,501,2163.300657
51.75,501,2169.713759
48.25,501,2176.111235
52.0,501,2182.494683
48.25,501,2188.86393
53.5,501,2195.280176
42.0,501,2201.677072
45.5,501,2208.070232
47.25,501,2214.460239
48.5,501,2220.842092
46.0,501,2227.450537
41.25,501,2233.829049
52.25,501,2240.236621
56.0,501,2247.066875
47.5,501,2253.796027
50.75,501,2260.399578
45.25,501,2266.880845
49.5,501,2273.282618
49.5,501,2279.798632
