#{"t_start": 1541259964.2929938, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,7.201782
0.0,501,13.479348
0.0,501,19.849361
0.0,501,26.144487
1.5,501,32.331291
0.0,501,38.490991
0.0,501,44.670519
4.25,501,50.780769
0.0,501,56.904688
0.0,501,63.0974
1.0,501,69.338493
7.5,501,75.60636
16.0,501,81.812119
38.0,501,88.079341
24.5,501,94.301316
76.0,501,100.592139
43.25,501,106.839144
58.5,501,113.125676
24.0,501,119.430325
83.25,501,125.746777
27.25,501,132.236783
28.0,501,138.691294
19.25,501,145.124125
30.5,501,151.546134
42.25,501,157.982537
4.5,501,164.416069
36.5,501,170.811941
33.75,501,177.214004
37.25,501,183.661516
36.25,501,190.061228
35.5,501,196.681592
26.0,501,203.15664
34.0,501,209.57981
38.25,501,216.025174
39.25,501,222.595151
33.75,501,229.179873
33.75,501,235.730161
34.75,501,242.191168
24.25,501,248.677443
31.0,501,255.0442
36.0,501,261.467177
33.75,501,267.96682
31.25,501,274.680975
33.5,501,281.055105
32.5,501,287.800162
32.5,501,295.399533
36.0,501,302.808133
32.0,501,310.317283
31.5,501,317.658129
41.25,501,324.994149
38.25,501,332.385542
36.75,501,339.81441
31.0,501,347.187978
37.75,501,354.572406
38.5,501,361.665725
35.25,501,368.179799
38.5,501,374.580864
34.5,501,380.931716
38.75,501,387.289462
35.75,501,393.639672
40.0,501,400.01318
31.75,501,406.362609
37.75,501,412.723671
36.75,501,419.083582
37.5,501,425.423894
35.5,501,431.813143
32.0,501,438.162605
35.25,501,444.525057
38.0,501,450.888701
38.0,501,457.249143
35.75,501,463.627708
39.75,501,469.978476
38.25,501,476.344465
38.5,501,482.714131
37.25,501,489.079045
38.5,501,495.468529
34.5,501,501.844428
39.0,501,508.198792
39.75,501,514.568633
18.25,501,520.934799
33.75,501,527.31595
35.0,501,533.674488
34.75,501,540.03986
34.25,501,546.405439
38.0,501,552.787144
36.5,501,559.185633
43.25,501,565.537921
37.5,501,571.903598
43.75,501,578.280917
32.25,501,584.654102
33.75,501,591.040045
40.0,501,597.399443
35.0,501,603.756583
41.0,501,610.131109
38.5,501,616.497022
34.5,501,622.895978
32.25,501,629.260298
37.0,501,635.643757
38.25,501,642.018371
31.5,501,648.392167
35.0,501,654.779722
32.5,501,661.14146
38.0,501,667.501183
39.75,501,674.037119
35.75,501,680.554798
35.75,501,686.932133
36.25,501,693.290889
39.75,501,699.668507
27.75,501,706.032488
36.5,501,712.393483
35.25,501,718.74457
34.75,501,725.080361
35.0,501,731.449325
34.0,501,737.787338
40.0,501,744.151036
38.75,501,750.528671
38.25,501,756.867076
35.25,501,763.221016
41.5,501,769.796403
35.5,501,776.179265
41.5,501,782.578192
36.25,501,788.951433
34.75,501,795.30903
37.25,501,801.672905
39.0,501,808.0467
36.25,501,814.441444
37.25,501,820.819341
38.5,501,827.194347
30.5,501,833.591595
31.75,501,839.959742
35.75,501,846.359982
37.0,501,852.737603
38.5,501,859.110702
37.25,501,865.489357
33.75,501,871.861446
31.5,501,878.257244
41.75,501,884.649951
41.25,501,891.031899
44.5,501,897.417142
47.0,501,903.826021
46.75,501,910.235792
38.5,501,916.61407
43.25,501,922.997325
42.5,501,929.368942
43.75,501,935.750829
42.5,501,942.151717
40.0,501,948.544581
41.25,501,954.953559
37.0,501,961.331639
39.5,501,967.685966
37.5,501,974.103838
38.25,501,980.488578
43.75,501,986.900035
37.0,501,993.282856
33.0,501,999.662876
40.25,501,1006.08227
38.0,501,1012.458411
50.0,501,1018.840784
