#{"t_start": 1541259964.3157876, "env_id": "MicropolisEnv-v0"}
r,l,t
0.0,501,7.179142
0.0,501,13.456629
0.0,501,19.826842
0.0,501,26.12182
0.0,501,32.308764
0.0,501,38.468374
0.0,501,44.647954
0.0,501,50.758169
0.0,501,56.882221
0.0,501,63.074841
0.0,501,69.315837
64.0,501,75.583794
20.25,501,81.78957
34.5,501,88.058144
17.75,501,94.278648
96.75,501,100.569548
56.0,501,106.823261
75.0,501,113.103178
97.0,501,119.407821
27.25,501,125.724907
20.25,501,132.214201
15.0,501,138.66918
35.25,501,145.101387
24.75,501,151.523694
38.75,501,157.959943
32.5,501,164.393535
30.25,501,170.789258
38.5,501,177.191447
36.75,501,183.638877
36.5,501,190.041447
32.0,501,196.659086
37.5,501,203.133897
22.75,501,209.557343
29.25,501,216.002592
41.25,501,222.572208
35.25,501,229.157235
34.25,501,235.709101
37.0,501,242.168512
36.5,501,248.654648
37.25,501,255.02141
27.25,501,261.444716
36.0,501,267.944174
27.25,501,274.658372
35.0,501,281.032473
27.5,501,287.784739
26.0,501,295.377024
31.75,501,302.785461
34.5,501,310.294728
43.75,501,317.635422
38.25,501,324.978027
38.5,501,332.362936
31.75,501,339.794659
40.0,501,347.174613
36.5,501,354.549552
39.75,501,361.642995
38.5,501,368.157227
34.5,501,374.561121
29.0,501,380.90919
30.75,501,387.266925
35.5,501,393.617119
39.0,501,399.990505
29.25,501,406.339998
37.0,501,412.700975
38.25,501,419.061044
33.5,501,425.401307
36.75,501,431.790512
37.0,501,438.14
39.25,501,444.502444
39.5,501,450.866071
33.25,501,457.226516
32.75,501,463.605031
38.0,501,469.955832
32.5,501,476.321773
34.5,501,482.691475
37.75,501,489.056375
35.5,501,495.445808
37.0,501,501.821789
32.5,501,508.176183
32.75,501,514.54588
30.25,501,520.912162
43.0,501,527.293303
35.25,501,533.651798
34.25,501,540.017201
32.25,501,546.382728
37.75,501,552.764489
38.75,501,559.163067
38.25,501,565.515268
34.25,501,571.880989
37.75,501,578.25826
36.0,501,584.631483
37.0,501,591.017382
30.75,501,597.376835
41.75,501,603.7338
34.5,501,610.108472
38.75,501,616.474285
34.5,501,622.873189
28.75,501,629.237638
34.5,501,635.621115
35.0,501,641.995721
32.5,501,648.369255
37.5,501,654.757118
30.5,501,661.118929
39.5,501,667.478504
36.0,501,674.014432
38.25,501,680.532069
37.25,501,686.909364
38.75,501,693.268376
32.25,501,699.645763
39.25,501,706.009772
32.5,501,712.369654
35.0,501,718.721872
33.0,501,725.057746
39.5,501,731.426624
39.75,501,737.764716
34.5,501,744.128341
31.75,501,750.506033
39.75,501,756.844352
36.0,501,763.198373
32.25,501,769.773916
33.0,501,776.156741
37.5,501,782.555571
37.25,501,788.928665
35.75,501,795.286371
39.75,501,801.650121
38.25,501,808.024035
36.5,501,814.418779
38.0,501,820.796674
33.5,501,827.17164
31.25,501,833.569057
37.75,501,839.936997
41.25,501,846.337297
39.75,501,852.715023
39.25,501,859.088114
32.75,501,865.466641
40.5,501,871.838953
42.5,501,878.23458
42.75,501,884.627269
44.75,501,891.009326
42.75,501,897.394541
50.0,501,903.803357
47.5,501,910.213272
47.25,501,916.591508
42.0,501,922.974779
49.25,501,929.346415
42.25,501,935.728195
41.5,501,942.129085
41.5,501,948.52188
43.5,501,954.930955
42.75,501,961.309009
45.0,501,967.663313
38.25,501,974.081289
45.25,501,980.465962
36.0,501,986.877414
44.75,501,993.260247
32.25,501,999.640287
47.25,501,1006.059648
35.5,501,1012.437032
42.5,501,1018.818084
40.5,501,1025.197155
42.25,501,1031.576823
37.75,501,1037.957385
48.75,501,1044.339881
38.5,501,1050.754251
41.75,501,1057.14134
42.0,501,1063.592799
41.5,501,1070.273889
48.0,501,1077.82065
42.5,501,1085.235436
37.5,501,1092.068926
50.5,501,1098.435619
41.25,501,1104.834253
45.5,501,1111.204051
40.0,501,1117.601568
39.25,501,1124.034918
49.75,501,1130.456533
41.5,501,1136.874604
45.75,501,1143.261634
41.75,501,1149.630638
37.25,501,1155.983171
32.25,501,1162.34795
39.5,501,1168.752055
36.25,501,1175.115743
43.25,501,1181.488947
45.75,501,1187.982429
44.0,501,1194.360389
47.75,501,1200.767998
42.0,501,1207.158295
38.75,501,1213.543617
41.25,501,1219.936669
47.75,501,1226.310366
40.5,501,1232.701609
41.0,501,1239.073384
35.0,501,1245.450512
36.5,501,1251.820762
31.5,501,1258.23393
46.0,501,1264.643605
40.0,501,1271.018837
39.0,501,1277.386069
43.75,501,1283.779114
38.25,501,1290.16131
39.25,501,1296.559683
41.25,501,1302.912913
42.25,501,1309.267631
34.75,501,1315.641001
35.0,501,1321.997143
37.0,501,1328.38996
35.75,501,1334.7571
36.75,501,1341.129927
37.25,501,1347.512318
39.0,501,1353.891548
39.75,501,1360.270575
42.5,501,1366.647778
52.75,501,1373.048088
34.75,501,1379.423581
38.0,501,1385.772637
47.75,501,1392.14393
49.75,501,1398.787824
45.0,501,1405.259292
37.5,501,1411.611777
35.0,501,1417.9635
47.0,501,1424.34692
42.0,501,1430.719802
37.0,501,1437.105666
49.25,501,1443.501627
39.5,501,1449.865887
47.75,501,1456.22173
40.25,501,1462.591343
40.0,501,1468.973107
49.25,501,1475.350954
47.5,501,1481.728871
44.5,501,1488.148405
50.75,501,1494.526329
43.25,501,1500.910087
41.75,501,1507.299299
40.0,501,1513.640669
41.5,501,1520.021522
38.0,501,1526.363196
40.25,501,1532.711039
37.5,501,1539.081433
39.5,501,1545.458424
40.75,501,1551.852941
41.0,501,1558.219313
50.25,501,1564.603595
43.75,501,1570.978811
46.0,501,1577.363956
44.0,501,1583.764584
42.0,501,1590.119667
37.25,501,1596.487248
48.0,501,1602.855503
43.0,501,1609.259463
42.25,501,1615.660251
51.0,501,1622.04272
33.5,501,1628.412726
41.75,501,1634.797868
42.0,501,1641.161983
39.0,501,1647.538466
42.75,501,1653.910364
46.5,501,1660.259861
45.0,501,1666.633132
31.25,501,1672.997603
48.25,501,1679.431016
47.75,501,1685.812671
50.25,501,1692.227732
42.5,501,1698.706116
39.75,501,1705.129895
45.75,501,1711.618399
46.5,501,1718.213297
36.25,501,1724.740952
46.0,501,1731.153441
39.5,501,1737.558853
44.25,501,1744.010779
40.0,501,1750.420755
40.75,501,1756.836336
43.0,501,1763.252263
42.0,501,1769.654646
51.75,501,1776.30111
44.75,501,1782.83624
44.25,501,1789.601932
47.5,501,1796.103217
46.25,501,1802.547436
52.0,501,1809.04846
41.5,501,1815.770114
43.5,501,1822.27898
45.0,501,1828.692343
46.75,501,1835.189478
52.25,501,1841.642919
47.5,501,1848.040735
41.25,501,1854.441776
34.25,501,1860.83323
45.5,501,1867.221954
49.75,501,1873.697539
46.25,501,1880.114293
47.75,501,1886.719933
41.5,501,1893.192929
50.75,501,1899.620691
41.0,501,1906.06401
37.25,501,1912.453465
44.5,501,1918.857552
46.75,501,1925.255741
45.75,501,1931.641823
43.5,501,1938.197508
35.75,501,1944.756009
51.0,501,1951.164126
51.5,501,1957.600094
51.5,501,1963.989995
45.75,501,1970.42344
47.5,501,1976.840991
56.0,501,1983.237771
48.5,501,1989.759306
48.75,501,1996.451913
52.25,501,2002.913634
55.5,501,2009.337026
45.75,501,2015.748316
50.75,501,2022.285946
48.0,501,2028.741699
53.0,501,2035.139553
50.75,501,2041.522509
48.25,501,2047.896615
43.0,501,2054.266764
43.5,501,2060.62271
50.75,501,2067.082041
48.0,501,2073.497625
50.25,501,2079.881513
46.0,501,2086.32709
49.0,501,2092.752687
47.75,501,2099.176704
48.5,501,2105.614528
52.75,501,2111.999873
55.75,501,2118.513072
44.25,501,2124.898232
35.0,501,2131.303458
39.75,501,2137.679469
48.0,501,2144.069391
46.0,501,2150.453274
53.0,501,2156.864225
45.25,501,2163.294157
45.25,501,2169.707214
54.25,501,2176.104586
53.75,501,2182.487988
53.5,501,2188.857343
51.25,501,2195.273574
45.5,501,2201.67043
49.0,501,2208.063638
45.5,501,2214.453699
53.25,501,2220.835609
49.25,501,2227.443899
47.5,501,2233.822555
54.0,501,2240.229933
58.25,501,2247.06024
51.0,501,2253.789456
52.0,501,2260.393007
54.75,501,2266.874239
54.0,501,2273.276133
47.75,501,2279.793119
47.25,501,2286.260466
51.75,501,2292.692336
53.0,501,2299.101703
52.0,501,2305.531066
42.25,501,2311.92881
42.0,501,2318.52151
38.25,501,2324.945636
56.25,501,2331.356272
49.0,501,2337.769295
65.5,501,2344.173981
52.0,501,2350.642733
48.0,501,2357.197802
48.75,501,2364.497602
47.0,501,2371.937557
42.75,501,2378.777456
50.25,501,2385.165064
43.75,501,2391.67188
57.75,501,2398.290569
47.25,501,2404.827367
46.75,501,2411.211647
45.75,501,2417.626964
45.0,501,2424.063652
42.5,501,2430.454878
35.75,501,2436.833863
51.0,501,2443.223104
51.5,501,2449.604285
52.25,501,2456.02508
36.75,501,2462.446249
49.75,501,2468.83631
50.25,501,2475.238126
46.25,501,2481.622738
50.25,501,2488.054482
50.75,501,2494.456324
44.25,501,2500.869596
48.5,501,2507.255767
46.5,501,2513.628373
47.25,501,2520.035853
51.5,501,2526.444538
52.25,501,2532.859851
47.5,501,2539.246644
54.0,501,2545.671007
49.5,501,2552.090215
47.75,501,2558.483943
44.25,501,2564.856224
51.75,501,2571.262576
48.75,501,2577.658922
47.0,501,2584.093381
50.5,501,2590.49942
47.5,501,2596.911103
52.5,501,2603.34116
51.0,501,2609.753161
48.25,501,2616.184551
43.5,501,2622.579254
49.5,501,2628.982947
45.0,501,2635.341501
49.0,501,2641.735843
47.5,501,2648.260266
45.5,501,2655.438016
51.5,501,2662.948572
38.25,501,2670.448484
46.25,501,2678.046676
50.0,501,2685.507809
48.0,501,2692.928448
38.25,501,2700.352326
50.5,501,2707.807077
42.5,501,2715.328561
49.25,501,2722.781318
53.0,501,2730.407182
43.5,501,2737.910548
52.5,501,2745.332684
52.0,501,2751.794719
42.75,501,2758.311757
48.5,501,2764.819013
52.5,501,2772.805202
48.0,501,2781.553028
53.25,501,2788.022911
47.5,501,2794.490044
43.75,501,2801.176322
49.25,501,2807.782454
56.75,501,2814.296163
48.0,501,2820.779763
48.75,501,2827.224768
46.0,501,2833.669271
48.75,501,2840.163769
40.25,501,2846.61587
53.5,501,2853.038703
42.75,501,2859.56722
41.0,501,2866.054365
51.5,501,2872.686908
48.25,501,2879.221952
51.25,501,2888.082693
59.0,501,2896.149933
51.75,501,2902.617299
52.0,501,2909.224253
46.0,501,2915.745293
55.75,501,2922.272412
57.75,501,2929.704592
47.75,501,2939.000408
40.25,501,2946.573844
50.25,501,2953.085342
41.25,501,2959.673775
51.5,501,2966.245169
58.25,501,2974.691727
51.25,501,2983.50509
55.5,501,2989.994374
43.5,501,2996.797604
37.5,501,3003.707643
50.25,501,3010.218549
45.0,501,3016.614756
36.75,501,3023.01398
47.0,501,3029.461333
52.75,501,3035.942475
49.0,501,3042.921638
45.25,501,3049.737518
51.5,501,3056.503167
48.5,501,3063.281319
51.25,501,3070.045401
49.75,501,3076.542592
47.5,501,3083.005268
49.5,501,3089.534406
50.5,501,3095.970855
51.0,501,3102.420665
33.5,501,3108.805573
46.0,501,3115.205887
36.75,501,3121.694336
51.75,501,3128.226198
48.0,501,3134.788225
55.25,501,3141.304953
49.0,501,3148.07326
51.25,501,3154.664757
50.25,501,3162.947084
52.5,501,3171.118554
51.75,501,3177.607524
53.75,501,3185.377683
43.75,501,3192.926746
46.5,501,3200.472985
47.0,501,3209.002579
46.5,501,3215.461089
51.0,501,3221.992982
44.75,501,3228.96844
52.5,501,3236.540038
47.75,501,3243.130436
49.0,501,3249.685343
46.25,501,3256.37551
42.5,501,3262.934053
47.75,501,3269.496796
47.5,501,3276.004013
52.0,501,3282.542236
50.25,501,3289.098903
47.5,501,3295.574951
52.0,501,3302.049088
46.5,501,3308.629102
50.0,501,3315.024085
48.5,501,3321.44177
42.25,501,3327.85333
50.75,501,3334.25395
47.5,501,3340.672548
49.0,501,3347.065168
46.75,501,3353.493508
58.0,501,3359.934669
50.75,501,3366.387792
40.75,501,3372.844736
50.0,501,3379.274393
49.75,501,3385.71591
48.75,501,3392.152528
50.0,501,3398.590971
52.75,501,3405.086794
48.75,501,3411.554372
50.25,501,3418.007403
45.75,501,3424.444978
47.75,501,3430.857553
50.0,501,3437.299416
49.75,501,3443.716454
53.0,501,3450.16935
48.75,501,3456.595457
48.0,501,3463.024217
50.0,501,3469.460979
46.5,501,3475.908061
48.25,501,3482.35249
50.25,501,3488.771707
55.5,501,3495.245457
47.25,501,3501.72348
47.0,501,3508.152406
52.25,501,3514.555716
49.25,501,3520.964926
54.0,501,3527.412714
50.75,501,3533.899963
50.0,501,3540.342273
56.25,501,3546.81252
49.0,501,3553.244965
44.0,501,3559.705211
52.0,501,3566.198765
47.75,501,3572.652082
53.25,501,3579.10865
46.0,501,3585.58601
51.0,501,3592.04316
46.25,501,3598.542493
49.0,501,3604.996242
45.0,501,3611.438731
48.0,501,3617.858121
41.75,501,3624.26908
47.5,501,3630.740965
49.5,501,3637.138543
48.25,501,3643.555411
42.5,501,3649.980135
42.0,501,3656.413063
53.75,501,3662.865159
52.5,501,3669.33643
48.25,501,3675.803422
45.5,501,3682.246613
51.25,501,3688.71324
50.75,501,3695.20054
50.75,501,3701.66599
53.75,501,3708.144589
41.0,501,3714.624726
51.25,501,3721.103782
47.5,501,3727.575707
48.75,501,3734.012653
44.75,501,3740.443677
51.25,501,3746.896909
49.0,501,3753.376511
45.5,501,3759.888547
42.5,501,3766.333415
41.25,501,3772.790823
48.25,501,3779.280718
52.75,501,3785.757454
45.0,501,3792.247777
59.25,501,3798.663753
43.5,501,3805.075558
54.25,501,3811.542106
47.0,501,3818.033604
51.0,501,3824.556237
47.75,501,3831.029581
43.0,501,3837.478683
50.75,501,3843.925599
56.0,501,3850.422728
45.25,501,3856.897702
45.5,501,3863.367894
50.75,501,3869.840344
50.25,501,3876.320171
47.25,501,3882.790791
43.75,501,3889.294654
49.75,501,3895.776364
50.75,501,3902.265531
50.25,501,3908.732462
49.75,501,3915.206163
47.5,501,3921.706598
49.75,501,3928.173339
43.75,501,3934.672188
49.75,501,3941.155422
50.5,501,3947.627193
48.0,501,3954.095987
49.5,501,3960.549708
41.0,501,3966.966719
49.5,501,3973.371444
53.0,501,3979.819531
50.5,501,3986.251779
56.5,501,3992.700079
44.75,501,3999.133934
46.25,501,4005.564821
47.5,501,4012.017595
48.0,501,4018.484208
50.75,501,4024.898712
39.0,501,4031.294059
61.25,501,4037.707634
40.75,501,4044.106305
50.0,501,4050.542658
49.75,501,4056.967783
41.25,501,4063.370315
44.25,501,4069.790556
53.0,501,4076.252466
45.75,501,4082.722761
45.5,501,4089.161134
46.75,501,4095.607907
44.75,501,4102.037899
58.25,501,4108.468243
45.5,501,4114.901695
49.25,501,4121.340147
48.5,501,4127.756331
45.0,501,4134.191276
46.5,501,4140.631665
48.5,501,4147.114053
49.0,501,4153.539284
44.0,501,4159.970936
46.0,501,4166.418961
46.75,501,4172.906342
37.25,501,4179.387512
38.5,501,4185.798912
35.75,501,4192.209413
32.25,501,4198.608679
45.75,501,4204.986624
40.75,501,4211.385518
40.25,501,4217.806234
38.0,501,4224.214333
36.75,501,4230.617628
43.75,501,4237.070553
37.75,501,4243.510775
41.0,501,4249.930277
35.75,501,4256.329994
36.5,501,4262.734154
46.75,501,4269.159762
46.75,501,4275.591805
53.5,501,4282.035983
47.75,501,4288.471008
49.0,501,4294.905258
45.75,501,4301.337963
56.5,501,4307.770905
55.25,501,4314.211693
52.25,501,4320.638103
49.75,501,4327.062936
50.5,501,4333.500451
42.75,501,4339.932477
49.75,501,4346.36147
48.75,501,4352.784772
50.75,501,4359.233975
52.5,501,4365.662672
45.25,501,4372.09372
42.0,501,4378.533856
51.75,501,4384.979087
54.5,501,4391.407135
46.5,501,4397.86038
45.75,501,4404.351537
49.75,501,4410.838795
51.0,501,4417.267942
46.5,501,4423.73034
51.75,501,4430.240766
43.0,501,4436.734842
41.0,501,4443.160557
41.5,501,4449.578312
45.25,501,4456.014428
41.5,501,4462.446118
47.0,501,4468.891617
50.25,501,4475.379551
48.75,501,4481.884579
54.75,501,4488.327626
54.0,501,4494.75723
47.25,501,4501.253011
49.0,501,4507.650457
46.5,501,4514.070381
51.75,501,4520.506584
48.75,501,4526.962315
42.75,501,4533.404596
47.0,501,4539.862173
50.0,501,4546.32588
46.5,501,4552.775296
56.5,501,4559.233471
47.75,501,4565.688211
45.5,501,4572.137641
38.75,501,4578.536138
38.25,501,4584.922411
46.5,501,4591.328078
47.75,501,4597.820794
50.0,501,4604.260634
53.25,501,4610.700461
55.25,501,4617.167802
43.0,501,4623.624047
47.0,501,4630.197742
36.25,501,4636.709916
40.25,501,4643.156332
